episode,episode_reward,episode_steps,timesteps,fps,timestamp,seed
96,0.910000,166,25864,0,2026-03-23T18:45:25.644312,30055
97,4.490000,217,26608,0,2026-03-23T18:45:25.697095,60056
98,9.050001,293,26728,0,2026-03-23T18:45:25.851174,20057
99,4.690000,278,27208,0,2026-03-23T18:45:25.885395,10048
100,-0.520000,184,27208,0,2026-03-23T18:45:25.885405,70056
101,3.590000,256,27344,0,2026-03-23T18:45:25.895186,40055
102,5.440000,217,27600,0,2026-03-23T18:45:25.913018,30056
103,-0.480000,178,28152,0,2026-03-23T18:45:25.952036,20058
104,0.670000,165,28528,0,2026-03-23T18:45:25.977887,10049
105,10.830000,398,28944,0,2026-03-23T18:45:26.153450,50056
106,0.910000,166,29480,0,2026-03-23T18:45:26.190825,20059
107,4.660000,236,29488,0,2026-03-23T18:45:26.191627,30057
108,7.830000,401,29816,0,2026-03-23T18:45:26.213408,60057
109,13.379999,440,30728,0,2026-03-23T18:45:26.416950,70057
110,1.630000,227,30760,0,2026-03-23T18:45:26.419591,50057
111,24.260002,457,31000,0,2026-03-23T18:45:26.436863,40056
112,1.630000,202,31104,0,2026-03-23T18:45:26.443837,30058
113,0.910000,166,31144,0,2026-03-23T18:45:26.446624,60058
114,1.200000,216,31208,0,2026-03-23T18:45:26.451416,20060
115,-0.570000,186,32488,0,2026-03-23T18:45:26.533674,40057
116,1.630000,221,32528,0,2026-03-23T18:45:26.536561,50058
117,0.910000,166,32536,0,2026-03-23T18:45:26.537339,20061
118,14.469999,513,32632,0,2026-03-23T18:45:26.544575,10050
119,17.900002,252,33160,0,2026-03-23T18:45:26.728000,60059
120,10.440001,357,33584,0,2026-03-23T18:45:26.757985,70058
121,0.430000,199,34224,0,2026-03-23T18:45:26.802552,10051
122,3.900000,215,34256,0,2026-03-23T18:45:26.804931,20062
123,17.000000,269,34640,0,2026-03-23T18:45:26.831132,40058
124,6.690000,280,34768,0,2026-03-23T18:45:26.839983,50059
125,-0.520000,181,35032,0,2026-03-23T18:45:27.004365,70059
126,0.670000,165,35576,0,2026-03-23T18:45:27.042340,20063
127,0.190000,193,35768,0,2026-03-23T18:45:27.055950,10052
128,7.210000,337,35856,0,2026-03-23T18:45:27.061965,60060
129,0.430000,166,35968,0,2026-03-23T18:45:27.070528,40059
130,0.910000,166,36096,0,2026-03-23T18:45:27.079462,50060
131,-0.520000,179,36464,0,2026-03-23T18:45:27.105523,70060
132,0.910000,165,37176,0,2026-03-23T18:45:27.304415,60061
133,0.670000,165,37416,0,2026-03-23T18:45:27.322073,50061
134,-1.960000,149,37656,0,2026-03-23T18:45:27.339015,70061
135,4.530000,247,37744,0,2026-03-23T18:45:27.345111,10053
136,2.490000,241,37896,0,2026-03-23T18:45:27.356071,40060
137,7.720000,291,37904,0,2026-03-23T18:45:27.356780,20064
138,3.340000,181,38624,0,2026-03-23T18:45:27.403642,60062
139,0.910000,166,39232,0,2026-03-23T18:45:27.596639,20065
140,3.540000,238,39320,0,2026-03-23T18:45:27.602414,50062
141,3.530000,247,39632,0,2026-03-23T18:45:27.623208,70062
142,1.870000,200,40224,0,2026-03-23T18:45:27.661935,60063
143,25.910004,2500,40392,0,2026-03-23T18:45:27.673075,56
144,1.630000,199,40912,0,2026-03-23T18:45:27.708097,50063
145,9.420000,401,41104,0,2026-03-23T18:45:27.865371,40061
146,10.840000,476,41552,0,2026-03-23T18:45:27.896213,10054
147,0.670000,166,41720,0,2026-03-23T18:45:27.907597,57
148,5.400000,320,41792,0,2026-03-23T18:45:27.912424,20066
149,4.490000,268,42368,0,2026-03-23T18:45:27.951322,60064
150,0.670000,166,42432,0,2026-03-23T18:45:27.955491,40062
151,23.109999,437,43128,0,2026-03-23T18:45:28.145146,70063
152,20.059999,285,43192,0,2026-03-23T18:45:28.149919,50064
153,1.820000,202,43336,0,2026-03-23T18:45:28.160290,58
154,15.860001,225,43352,0,2026-03-23T18:45:28.161500,10055
155,2.670000,199,43384,0,2026-03-23T18:45:28.163687,20067
156,0.430000,165,43752,0,2026-03-23T18:45:28.189295,40063
157,0.910000,166,44664,0,2026-03-23T18:45:28.252658,59
158,-0.530000,164,44664,0,2026-03-23T18:45:28.252666,10056
159,16.340000,225,44992,0,2026-03-23T18:45:28.276081,50065
160,0.910000,166,45080,0,2026-03-23T18:45:28.427418,40064
161,4.740000,271,45296,0,2026-03-23T18:45:28.443394,70064
162,17.810001,269,45536,0,2026-03-23T18:45:28.459917,20068
163,10.800000,457,46024,0,2026-03-23T18:45:28.493942,60065
164,1.670000,194,46216,0,2026-03-23T18:45:28.507246,60
165,0.910000,165,46400,0,2026-03-23T18:45:28.520002,40065
166,2.530000,233,46528,0,2026-03-23T18:45:28.528475,10057
167,0.910000,166,46864,0,2026-03-23T18:45:28.552400,20069
168,4.400000,283,47256,0,2026-03-23T18:45:28.725759,50066
169,16.960001,267,47432,0,2026-03-23T18:45:28.738793,70065
