episode,episode_reward,episode_steps,timesteps,fps,timestamp,seed
1,4.390000,217,1736,0,2026-03-24T22:07:00.007096,70043
2,16.340000,225,1800,0,2026-03-24T22:07:00.012704,60043
3,16.040001,227,1816,0,2026-03-24T22:07:00.014474,43
4,9.100000,251,2008,0,2026-03-24T22:07:00.033072,40043
5,19.250000,276,2208,0,2026-03-24T22:07:00.288722,30043
6,17.969999,276,2208,0,2026-03-24T22:07:00.288730,50043
7,4.340000,215,3536,0,2026-03-24T22:07:00.387492,44
8,42.519997,479,3832,0,2026-03-24T22:07:00.410744,10043
9,9.270000,334,4408,0,2026-03-24T22:07:00.605153,70044
10,38.249996,397,5184,0,2026-03-24T22:07:00.662486,40044
11,37.910000,426,5616,0,2026-03-24T22:07:00.695679,30044
12,20.650000,473,5992,0,2026-03-24T22:07:00.723482,50044
13,14.650000,442,7072,0,2026-03-24T22:07:00.959338,45
14,26.550003,447,7408,0,2026-03-24T22:07:00.983449,10044
15,16.040001,227,7432,0,2026-03-24T22:07:00.985678,30045
16,41.679996,500,8408,0,2026-03-24T22:07:01.302815,70045
17,40.659992,429,8616,0,2026-03-24T22:07:01.321940,40045
18,3.530000,237,8968,0,2026-03-24T22:07:01.361354,46
19,53.019997,432,10888,0,2026-03-24T22:07:01.722204,30046
20,5.290000,251,10976,0,2026-03-24T22:07:01.728255,47
21,40.549995,347,11392,0,2026-03-24T22:07:01.760685,40046
22,19.250000,272,13064,0,2026-03-24T22:07:02.110912,30047
23,21.070000,338,14096,0,2026-03-24T22:07:02.180652,40047
24,27.550001,450,14576,0,2026-03-24T22:07:02.379145,48
25,17.799999,497,18072,0,2026-03-24T22:07:02.760311,40048
26,28.410000,471,18344,0,2026-03-24T22:07:02.779428,49
27,4.430000,211,19760,0,2026-03-24T22:07:03.021795,40049
28,1.820000,202,19960,0,2026-03-24T22:07:03.035923,50
29,38.139999,2500,20000,0,2026-03-24T22:07:03.039124,20043
30,33.299999,2500,21800,0,2026-03-24T22:07:03.308965,60044
31,18.959999,266,21888,0,2026-03-24T22:07:03.315189,40050
32,20.920000,316,22488,0,2026-03-24T22:07:03.357811,51
33,22.740000,360,22880,0,2026-03-24T22:07:03.544539,20044
34,15.889999,227,23704,0,2026-03-24T22:07:03.605621,40051
35,8.360000,292,24136,0,2026-03-24T22:07:03.641763,60045
36,33.579998,302,25296,0,2026-03-24T22:07:03.873190,20045
37,18.150000,267,25840,0,2026-03-24T22:07:03.912235,40052
38,16.290001,226,25944,0,2026-03-24T22:07:03.919702,60046
39,33.379997,2500,25992,0,2026-03-24T22:07:03.923363,50045
40,34.519997,597,27264,0,2026-03-24T22:07:04.159729,52
41,32.669998,2500,27408,0,2026-03-24T22:07:04.171017,10045
42,7.360001,294,28344,0,2026-03-24T22:07:04.239600,50046
43,33.589996,2500,28408,0,2026-03-24T22:07:04.244174,70046
44,5.240000,215,28984,0,2026-03-24T22:07:04.432580,53
45,16.340000,227,30800,0,2026-03-24T22:07:04.712770,54
46,25.840002,432,30864,0,2026-03-24T22:07:04.717253,10046
47,24.070002,356,31192,0,2026-03-24T22:07:04.741003,50047
48,13.270000,388,31512,0,2026-03-24T22:07:04.764062,70047
49,32.569996,2500,33064,0,2026-03-24T22:07:05.038781,30048
50,9.060000,338,33568,0,2026-03-24T22:07:05.077819,10047
51,18.420000,305,33632,0,2026-03-24T22:07:05.082612,50048
52,18.150002,266,33640,0,2026-03-24T22:07:05.083616,70048
53,16.250000,229,35472,0,2026-03-24T22:07:05.377773,70049
54,22.730001,380,36104,0,2026-03-24T22:07:05.422015,30049
55,26.940001,413,36872,0,2026-03-24T22:07:05.624626,10048
56,5.250000,296,37840,0,2026-03-24T22:07:05.689076,70050
57,4.490001,279,38336,0,2026-03-24T22:07:05.721766,30050
58,16.290001,226,38680,0,2026-03-24T22:07:05.746687,10049
59,0.910000,166,39168,0,2026-03-24T22:07:05.934669,70051
60,16.340000,226,40144,0,2026-03-24T22:07:06.000776,30051
61,6.160000,304,41600,0,2026-03-24T22:07:06.243811,70052
62,21.160002,312,42640,0,2026-03-24T22:07:06.310437,30052
63,4.250000,271,43768,0,2026-03-24T22:07:06.545396,70053
64,19.250000,278,44864,0,2026-03-24T22:07:06.624564,30053
65,36.430000,2500,45296,0,2026-03-24T22:07:06.819430,20046
66,75.369995,2500,45840,0,2026-03-24T22:07:06.859153,40053
67,33.529999,2500,45944,0,2026-03-24T22:07:06.866575,60047
68,21.210001,314,46280,0,2026-03-24T22:07:06.892993,70054
69,6.200000,241,47224,0,2026-03-24T22:07:07.115863,20047
70,0.910000,166,47608,0,2026-03-24T22:07:07.145220,70055
71,3.780000,240,47864,0,2026-03-24T22:07:07.163048,60048
72,16.340000,225,49024,0,2026-03-24T22:07:07.244482,20048
73,17.910000,302,50024,0,2026-03-24T22:07:07.462951,70056
74,37.339996,2500,50800,0,2026-03-24T22:07:07.511392,55
75,19.779999,303,51448,0,2026-03-24T22:07:07.702786,20049
76,12.510000,372,53000,0,2026-03-24T22:07:07.798402,70057
77,45.380001,2500,53632,0,2026-03-24T22:07:07.988740,50049
78,36.779999,352,54264,0,2026-03-24T22:07:08.031754,20050
79,0.910000,166,54328,0,2026-03-24T22:07:08.036115,70058
80,25.500000,435,57744,0,2026-03-24T22:07:08.543597,20051
81,40.389999,517,57768,0,2026-03-24T22:07:08.545444,50050
82,41.989998,516,58456,0,2026-03-24T22:07:08.589055,70059
83,46.949997,2500,58680,0,2026-03-24T22:07:08.606238,10050
84,16.050001,228,59592,0,2026-03-24T22:07:08.817703,50051
85,7.100000,284,60016,0,2026-03-24T22:07:08.847329,20052
86,8.050000,289,60768,0,2026-03-24T22:07:08.898138,70060
87,16.290001,226,61400,0,2026-03-24T22:07:08.943035,50052
88,16.549999,454,62312,0,2026-03-24T22:07:09.149775,10051
89,22.929998,368,63712,0,2026-03-24T22:07:09.392977,70061
90,15.469999,521,64184,0,2026-03-24T22:07:09.423107,20053
91,32.669998,2500,64864,0,2026-03-24T22:07:09.466677,30054
92,32.660000,510,65480,0,2026-03-24T22:07:09.512200,50053
93,59.849995,2500,65840,0,2026-03-24T22:07:09.685669,40054
94,28.560001,492,66248,0,2026-03-24T22:07:09.717108,10052
95,21.210001,320,66272,0,2026-03-24T22:07:09.719204,70062
96,22.780001,303,66608,0,2026-03-24T22:07:09.745156,20054
97,17.010000,251,66872,0,2026-03-24T22:07:09.765945,30055
98,3.530000,239,67752,0,2026-03-24T22:07:09.999691,40055
99,47.999992,2500,67864,0,2026-03-24T22:07:10.011309,60049
100,22.930000,342,68216,0,2026-03-24T22:07:10.041576,50054
101,22.110001,320,68808,0,2026-03-24T22:07:10.089305,10053
102,5.400001,305,69048,0,2026-03-24T22:07:10.109964,20055
103,17.920000,271,70032,0,2026-03-24T22:07:10.366269,60050
104,41.559998,442,70408,0,2026-03-24T22:07:10.396248,30056
105,31.529999,2500,70800,0,2026-03-24T22:07:10.425630,56
106,22.160000,325,70816,0,2026-03-24T22:07:10.427179,50055
107,28.260002,477,71568,0,2026-03-24T22:07:10.487777,40056
108,34.739998,343,71792,0,2026-03-24T22:07:10.659991,20056
109,16.040001,227,71848,0,2026-03-24T22:07:10.664016,60051
110,4.850000,236,72296,0,2026-03-24T22:07:10.696567,30057
111,4.540000,217,74032,0,2026-03-24T22:07:10.970119,30058
112,11.259999,305,74232,0,2026-03-24T22:07:10.985121,20057
113,27.600000,449,74392,0,2026-03-24T22:07:10.996430,57
114,25.900000,439,75080,0,2026-03-24T22:07:11.044469,40057
115,-1.240000,149,75224,0,2026-03-24T22:07:11.054401,30059
116,4.540000,217,76128,0,2026-03-24T22:07:11.274600,58
117,17.250000,267,77216,0,2026-03-24T22:07:11.353485,40058
118,25.500002,438,77736,0,2026-03-24T22:07:11.390222,20058
119,30.520000,472,80992,0,2026-03-24T22:07:11.923751,40059
120,28.920002,432,81192,0,2026-03-24T22:07:11.937146,20059
121,5.150000,256,83040,0,2026-03-24T22:07:12.211949,40060
122,1.580000,226,84848,0,2026-03-24T22:07:12.558601,40061
123,41.169998,486,85080,0,2026-03-24T22:07:12.574863,20060
124,46.959995,2500,86272,0,2026-03-24T22:07:12.808036,70063
125,16.000002,229,86680,0,2026-03-24T22:07:12.836535,40062
126,17.010000,250,87080,0,2026-03-24T22:07:12.863227,20061
127,31.230000,2500,88808,0,2026-03-24T22:07:13.128847,10054
128,6.490000,277,88896,0,2026-03-24T22:07:13.135097,40063
129,20.780001,342,89008,0,2026-03-24T22:07:13.142903,70064
130,19.920000,290,89400,0,2026-03-24T22:07:13.170620,20062
131,16.290001,225,90608,0,2026-03-24T22:07:13.402024,10055
132,32.769997,2500,90816,0,2026-03-24T22:07:13.416483,50056
133,16.950001,266,91136,0,2026-03-24T22:07:13.440053,70065
134,16.290001,226,91208,0,2026-03-24T22:07:13.445254,20063
135,20.160000,293,91240,0,2026-03-24T22:07:13.447647,40064
136,30.619995,2500,91848,0,2026-03-24T22:07:13.491288,60052
137,17.349998,247,92584,0,2026-03-24T22:07:13.718689,10056
138,4.250000,214,92848,0,2026-03-24T22:07:13.739523,70066
139,3.820000,211,92896,0,2026-03-24T22:07:13.743315,20064
140,5.540000,257,93296,0,2026-03-24T22:07:13.773309,40065
