episode,episode_reward,episode_steps,timesteps,fps,timestamp,seed
1,-1.240000,149,1192,0,2026-03-23T18:39:23.734567,10043
2,-1.240000,149,1192,0,2026-03-23T18:39:23.734577,20043
3,-1.240000,149,1192,0,2026-03-23T18:39:23.734580,40043
4,-1.240000,149,1192,0,2026-03-23T18:39:23.734582,70043
5,0.670000,193,1544,0,2026-03-23T18:39:23.763667,30043
6,15.850000,232,1856,0,2026-03-23T18:39:23.786988,50043
7,-1.240000,149,2384,0,2026-03-23T18:39:24.011140,10044
8,-1.240000,149,2384,0,2026-03-23T18:39:24.011148,40044
9,21.960001,312,2496,0,2026-03-23T18:39:24.019542,60043
10,-0.280000,180,2632,0,2026-03-23T18:39:24.031097,20044
11,-0.280000,181,2640,0,2026-03-23T18:39:24.031957,70044
12,7.260000,339,2712,0,2026-03-23T18:39:24.037150,43
13,-1.240000,149,2736,0,2026-03-23T18:39:24.039371,30044
14,-1.240000,149,3048,0,2026-03-23T18:39:24.063093,50044
15,-1.240000,149,3576,0,2026-03-23T18:39:24.101011,10045
16,-1.240000,149,3576,0,2026-03-23T18:39:24.101023,40045
17,-1.240000,149,3688,0,2026-03-23T18:39:24.108900,60044
18,1.670000,191,4264,0,2026-03-23T18:39:24.302596,30045
19,4.580000,233,4496,0,2026-03-23T18:39:24.320493,20045
20,2.630000,225,4512,0,2026-03-23T18:39:24.321898,44
21,6.250000,282,4896,0,2026-03-23T18:39:24.356388,70045
22,-0.480000,176,4984,0,2026-03-23T18:39:24.364133,10046
23,2.340000,253,5072,0,2026-03-23T18:39:24.371851,50045
24,-1.040000,149,5704,0,2026-03-23T18:39:24.424586,45
25,4.550000,295,6048,0,2026-03-23T18:39:24.449782,60045
26,15.650000,236,6152,0,2026-03-23T18:39:24.613642,30046
27,-1.240000,149,6264,0,2026-03-23T18:39:24.622269,50046
28,1.870000,225,6696,0,2026-03-23T18:39:24.653665,70046
29,25.389999,395,6736,0,2026-03-23T18:39:24.656624,40046
30,-1.240000,149,6896,0,2026-03-23T18:39:24.668812,46
31,-1.240000,149,7344,0,2026-03-23T18:39:24.702748,30047
32,6.970000,352,7800,0,2026-03-23T18:39:24.735574,10047
33,15.890000,228,7872,0,2026-03-23T18:39:24.740700,60046
34,-1.240000,149,7928,0,2026-03-23T18:39:24.745198,40047
35,2.580000,222,8040,0,2026-03-23T18:39:24.753606,50047
36,-1.240000,149,8088,0,2026-03-23T18:39:24.757286,47
37,-1.240000,149,8536,0,2026-03-23T18:39:24.938191,30048
38,-1.240000,149,9064,0,2026-03-23T18:39:24.976077,60047
39,-1.240000,149,9232,0,2026-03-23T18:39:24.988049,50048
40,-0.280000,181,9984,0,2026-03-23T18:39:25.041873,30049
41,4.540000,272,10264,0,2026-03-23T18:39:25.209412,48
42,5.450000,303,10352,0,2026-03-23T18:39:25.215482,40048
43,17.160000,519,10848,0,2026-03-23T18:39:25.248675,70047
44,11.130000,411,11088,0,2026-03-23T18:39:25.265477,10048
45,1.580000,233,11096,0,2026-03-23T18:39:25.266954,50049
46,-0.570000,189,11496,0,2026-03-23T18:39:25.296560,30050
47,5.260000,332,11720,0,2026-03-23T18:39:25.313902,60048
48,1.670000,195,11824,0,2026-03-23T18:39:25.321701,49
49,3.580000,232,12704,0,2026-03-23T18:39:25.546275,70048
50,3.100000,227,12904,0,2026-03-23T18:39:25.569177,10049
51,2.190000,227,12912,0,2026-03-23T18:39:25.570101,50050
52,-0.280000,184,13296,0,2026-03-23T18:39:25.717961,50
53,16.050001,229,13552,0,2026-03-23T18:39:25.739177,60049
54,10.840000,407,13608,0,2026-03-23T18:39:25.744001,40049
55,-1.240000,149,14096,0,2026-03-23T18:39:25.780722,10050
56,15.700001,231,14552,0,2026-03-23T18:39:25.970664,70049
57,15.799999,228,14736,0,2026-03-23T18:39:25.984483,50051
58,-1.480000,149,15288,0,2026-03-23T18:39:26.024619,10051
59,5.150000,215,15328,0,2026-03-23T18:39:26.027991,40050
60,5.970000,293,15640,0,2026-03-23T18:39:26.050154,51
61,2.620000,209,16408,0,2026-03-23T18:39:26.251886,50052
62,8.630000,370,16512,0,2026-03-23T18:39:26.259495,60050
63,-1.720000,149,16832,0,2026-03-23T18:39:26.283593,52
64,2.630000,223,17112,0,2026-03-23T18:39:26.303581,40051
65,8.170000,344,17304,0,2026-03-23T18:39:26.316973,70050
66,3.490001,276,17496,0,2026-03-23T18:39:26.331267,10052
67,15.890001,228,18336,0,2026-03-23T18:39:26.389432,60051
68,3.940000,209,18504,0,2026-03-23T18:39:26.554075,53
69,0.910000,166,18632,0,2026-03-23T18:39:26.563431,70051
70,1.870000,197,18688,0,2026-03-23T18:39:26.567776,40052
71,5.210000,298,18792,0,2026-03-23T18:39:26.576571,50053
72,4.730000,248,19480,0,2026-03-23T18:39:26.624705,10053
73,0.430000,166,19832,0,2026-03-23T18:39:26.649644,54
74,0.910000,166,20016,0,2026-03-23T18:39:26.662257,40053
75,1.100000,232,21336,0,2026-03-23T18:39:26.901415,10054
76,7.890000,381,21384,0,2026-03-23T18:39:26.904725,60052
77,2.340000,233,21696,0,2026-03-23T18:39:26.926338,55
78,10.500000,388,21736,0,2026-03-23T18:39:26.929298,70052
79,-1.720000,149,22928,0,2026-03-23T18:39:27.158070,70053
80,15.650000,228,23160,0,2026-03-23T18:39:27.174909,10055
81,28.540001,446,23584,0,2026-03-23T18:39:27.203977,40054
