episode,episode_reward,episode_steps,timesteps,fps,timestamp,seed
1,-1.490000,162,1296,0,2026-03-23T18:32:10.462581,43
2,-1.490000,163,1304,0,2026-03-23T18:32:10.463384,60043
3,-0.530000,198,1584,0,2026-03-23T18:32:10.483518,70043
4,1.220000,209,1672,0,2026-03-23T18:32:10.490861,30043
5,4.900001,245,1960,0,2026-03-23T18:32:10.513257,40043
6,16.760000,275,2200,0,2026-03-23T18:32:10.733976,50043
7,3.950001,322,2576,0,2026-03-23T18:32:10.761686,10043
8,0.420000,199,2888,0,2026-03-23T18:32:10.783746,44
9,-0.530000,199,3552,0,2026-03-23T18:32:10.831058,40044
10,0.220000,211,3888,0,2026-03-23T18:32:10.854619,50044
11,5.920000,322,4160,0,2026-03-23T18:32:11.047387,70044
12,17.570002,321,4240,0,2026-03-23T18:32:11.053519,30044
13,1.040000,271,4744,0,2026-03-23T18:32:11.088059,10044
14,-1.490000,162,5456,0,2026-03-23T18:32:11.134503,70045
15,-1.490000,163,5544,0,2026-03-23T18:32:11.140129,30045
16,12.400001,425,6288,0,2026-03-23T18:32:11.338729,45
17,1.130000,236,6632,0,2026-03-23T18:32:11.362736,10045
18,24.290003,406,6800,0,2026-03-23T18:32:11.374646,40045
19,9.840000,458,7552,0,2026-03-23T18:32:11.428294,50045
20,17.510000,295,7904,0,2026-03-23T18:32:11.452115,30046
21,-1.250000,161,8088,0,2026-03-23T18:32:11.465477,40046
22,1.420000,205,9544,0,2026-03-23T18:32:11.715860,30047
23,-0.530000,202,9704,0,2026-03-23T18:32:11.726915,40047
24,1.290000,270,9712,0,2026-03-23T18:32:11.727771,50046
25,7.940001,436,9776,0,2026-03-23T18:32:11.732146,46
26,20.490002,409,9904,0,2026-03-23T18:32:11.741146,10046
27,1.580000,235,11656,0,2026-03-23T18:32:12.003462,47
28,3.240000,276,11920,0,2026-03-23T18:32:12.021808,50047
29,5.000000,322,12480,0,2026-03-23T18:32:12.207857,10047
30,12.910001,480,13544,0,2026-03-23T18:32:12.275748,40048
31,1.380000,233,13784,0,2026-03-23T18:32:12.291920,50048
32,6.860000,370,14616,0,2026-03-23T18:32:12.492423,48
33,2.290000,275,14680,0,2026-03-23T18:32:12.496375,10048
34,-0.530000,194,15096,0,2026-03-23T18:32:12.522435,40049
35,-1.490000,163,15920,0,2026-03-23T18:32:12.574886,49
36,-1.490000,164,15992,0,2026-03-23T18:32:12.579466,10049
37,5.620000,389,16896,0,2026-03-23T18:32:12.783183,50049
38,16.600000,263,17200,0,2026-03-23T18:32:12.804040,40050
39,-0.580000,202,17608,0,2026-03-23T18:32:12.830656,10050
40,-0.730000,191,18424,0,2026-03-23T18:32:12.885070,50050
41,5.950000,317,18456,0,2026-03-23T18:32:13.034771,50
42,-1.490000,164,18512,0,2026-03-23T18:32:13.039017,40051
43,-0.580000,198,19192,0,2026-03-23T18:32:13.082739,10051
44,-4.479990,2500,20000,0,2026-03-23T18:32:13.133205,20043
45,-0.530000,194,20064,0,2026-03-23T18:32:13.137807,40052
46,14.800001,228,20248,0,2026-03-23T18:32:13.149117,50051
47,2.330000,242,20392,0,2026-03-23T18:32:13.158722,51
48,-4.279990,2500,21304,0,2026-03-23T18:32:13.363801,60044
49,-1.490000,164,21376,0,2026-03-23T18:32:13.368798,40053
50,-1.490000,163,21552,0,2026-03-23T18:32:13.381212,50052
51,1.180000,237,21896,0,2026-03-23T18:32:13.405207,20044
52,0.620000,205,22032,0,2026-03-23T18:32:13.414277,52
53,6.570000,404,22424,0,2026-03-23T18:32:13.441946,10052
54,-0.290000,165,23216,0,2026-03-23T18:32:13.644991,20045
55,3.130000,240,23296,0,2026-03-23T18:32:13.651132,40054
56,2.490000,265,23424,0,2026-03-23T18:32:13.660038,60045
57,3.080000,209,23704,0,2026-03-23T18:32:13.682441,53
58,2.130000,246,24392,0,2026-03-23T18:32:13.728756,10053
59,-1.490000,164,25016,0,2026-03-23T18:32:13.918658,54
60,15.139999,223,25208,0,2026-03-23T18:32:13.932308,60046
61,26.410002,486,25440,0,2026-03-23T18:32:13.947249,50053
62,-8.819989,2500,25456,0,2026-03-23T18:32:13.948471,70046
63,6.060000,346,26064,0,2026-03-23T18:32:13.989095,40055
64,-0.580000,202,26632,0,2026-03-23T18:32:14.174512,55
65,12.700000,505,27256,0,2026-03-23T18:32:14.216980,20046
66,2.380000,243,27384,0,2026-03-23T18:32:14.225466,50054
67,9.639999,477,28208,0,2026-03-23T18:32:14.279309,10054
68,7.830000,415,28528,0,2026-03-23T18:32:14.300358,60047
69,8.430000,405,28696,0,2026-03-23T18:32:14.460397,70047
70,1.230000,219,29008,0,2026-03-23T18:32:14.482559,20047
71,2.330000,251,29392,0,2026-03-23T18:32:14.509737,50055
72,8.980017,2500,29544,0,2026-03-23T18:32:14.520756,30048
73,22.910002,457,29720,0,2026-03-23T18:32:14.533538,40056
74,15.090000,225,30008,0,2026-03-23T18:32:14.555123,10055
75,0.420000,204,30328,0,2026-03-23T18:32:14.577996,70048
76,15.140001,230,30848,0,2026-03-23T18:32:14.762894,20048
77,-1.530000,186,31208,0,2026-03-23T18:32:14.788895,40057
78,-1.490000,163,31312,0,2026-03-23T18:32:14.796345,10056
79,5.720000,384,31600,0,2026-03-23T18:32:14.817191,60048
80,6.200000,312,31888,0,2026-03-23T18:32:14.838735,50056
81,15.899998,246,32296,0,2026-03-23T18:32:14.868178,70049
82,20.630001,374,32536,0,2026-03-23T18:32:14.885365,30049
83,0.620000,207,32968,0,2026-03-23T18:32:15.064759,10057
84,14.690000,229,33432,0,2026-03-23T18:32:15.097913,60049
85,33.940002,359,33720,0,2026-03-23T18:32:15.117627,20049
86,4.200000,320,34448,0,2026-03-23T18:32:15.166477,50057
87,-0.530000,199,34560,0,2026-03-23T18:32:15.173944,10058
88,4.250000,298,34680,0,2026-03-23T18:32:15.182622,70050
89,-1.490000,164,35032,0,2026-03-23T18:32:15.355842,20050
90,1.620000,202,35048,0,2026-03-23T18:32:15.357210,60050
91,5.150001,321,35104,0,2026-03-23T18:32:15.360992,30050
92,40.590000,512,35304,0,2026-03-23T18:32:15.375472,40058
93,-1.440000,164,35992,0,2026-03-23T18:32:15.423839,70051
94,-1.490000,164,36416,0,2026-03-23T18:32:15.453552,30051
95,1.180000,242,36496,0,2026-03-23T18:32:15.458866,10059
96,-1.490000,164,36616,0,2026-03-23T18:32:15.467858,40059
97,15.139999,223,36832,0,2026-03-23T18:32:15.482333,60051
98,21.140001,418,38376,0,2026-03-23T18:32:15.749922,20051
99,0.620000,205,38472,0,2026-03-23T18:32:15.756666,60052
100,1.330000,240,38536,0,2026-03-23T18:32:15.761311,40060
101,18.710001,309,38888,0,2026-03-23T18:32:15.786066,30052
102,9.640000,388,39096,0,2026-03-23T18:32:15.956885,70052
103,2.340000,263,40480,0,2026-03-23T18:32:16.047125,20052
104,1.420000,211,40576,0,2026-03-23T18:32:16.053619,30053
105,5.660000,342,41208,0,2026-03-23T18:32:16.246180,60053
106,8.070001,325,41696,0,2026-03-23T18:32:16.277947,70053
107,8.020000,400,41736,0,2026-03-23T18:32:16.280645,40061
108,-0.290000,165,42528,0,2026-03-23T18:32:16.331664,60054
109,2.090000,273,42760,0,2026-03-23T18:32:16.346548,30054
110,-1.490000,163,43040,0,2026-03-23T18:32:16.516508,40062
111,7.070001,386,43568,0,2026-03-23T18:32:16.552296,20053
112,2.530000,244,43648,0,2026-03-23T18:32:16.557753,70054
113,-0.290000,165,44080,0,2026-03-23T18:32:16.587491,30055
114,15.139999,223,44312,0,2026-03-23T18:32:16.603623,60055
115,-0.290000,165,44360,0,2026-03-23T18:32:16.607119,40063
116,-0.290000,166,44896,0,2026-03-23T18:32:16.643901,20054
117,-0.290000,165,45680,0,2026-03-23T18:32:16.847467,40064
118,3.340000,280,45888,0,2026-03-23T18:32:16.861468,70055
119,3.340000,217,46048,0,2026-03-23T18:32:16.873887,60056
120,8.890018,2500,46632,0,2026-03-23T18:32:16.913620,56
121,21.529999,364,46992,0,2026-03-23T18:32:16.937757,30056
122,-0.290000,165,47000,0,2026-03-23T18:32:16.938568,40065
123,1.530000,240,47808,0,2026-03-23T18:32:17.146596,70056
124,-1.490000,164,47944,0,2026-03-23T18:32:17.156285,57
125,7.080000,415,48216,0,2026-03-23T18:32:17.175515,20055
126,0.470000,197,48576,0,2026-03-23T18:32:17.200842,40066
127,3.800000,236,48880,0,2026-03-23T18:32:17.222070,30057
