episode,episode_reward,loss,avg_reward_100,max_reward,episode_steps,timestamp
81,7.000,-0.166745,2.864,16.000,69,2026-03-17T20:47:25.996545
82,7.000,-0.172481,2.915,16.000,69,2026-03-17T20:47:26.020250
83,-1.000,-0.171053,2.867,16.000,37,2026-03-17T20:47:26.034018
84,-1.000,-0.171633,2.821,16.000,37,2026-03-17T20:47:26.047143
85,7.000,-0.179442,2.871,16.000,69,2026-03-17T20:47:26.068739
86,7.000,-0.178718,2.919,16.000,69,2026-03-17T20:47:26.083519
87,7.000,-0.178660,2.966,16.000,69,2026-03-17T20:47:26.110248
88,7.000,-0.181988,3.011,16.000,69,2026-03-17T20:47:26.123446
89,-1.000,-0.172626,2.966,16.000,37,2026-03-17T20:47:26.136734
90,13.000,-0.161214,3.078,16.000,92,2026-03-17T20:47:26.167745
91,16.000,-0.095967,3.220,16.000,625,2026-03-17T20:47:26.255279
92,16.000,-0.098166,3.359,16.000,625,2026-03-17T20:47:26.336682
93,16.000,-0.099331,3.495,16.000,625,2026-03-17T20:47:26.416894
94,16.000,-0.104012,3.628,16.000,625,2026-03-17T20:47:26.510078
95,5.000,-0.156185,3.642,16.000,57,2026-03-17T20:47:26.536742
96,-1.000,-0.165958,3.594,16.000,37,2026-03-17T20:47:26.553542
97,-1.000,-0.168948,3.546,16.000,37,2026-03-17T20:47:26.566633
98,16.000,-0.108833,3.673,16.000,625,2026-03-17T20:47:26.643649
99,16.000,-0.110897,3.798,16.000,625,2026-03-17T20:47:26.723479
100,16.000,-0.112764,3.920,16.000,625,2026-03-17T20:47:26.817117
101,16.000,-0.116585,4.090,16.000,625,2026-03-17T20:47:26.908832
102,13.000,-0.159997,4.230,16.000,92,2026-03-17T20:47:26.927037
103,14.000,-0.162795,4.380,16.000,94,2026-03-17T20:47:26.950423
104,13.000,-0.164477,4.520,16.000,92,2026-03-17T20:47:26.982576
105,13.000,-0.166917,4.660,16.000,92,2026-03-17T20:47:27.003693
106,13.000,-0.165152,4.800,16.000,92,2026-03-17T20:47:27.017047
107,13.000,-0.170224,4.940,16.000,92,2026-03-17T20:47:27.043609
108,-1.000,-0.157851,4.940,16.000,37,2026-03-17T20:47:27.056981
109,-1.000,-0.156428,4.940,16.000,37,2026-03-17T20:47:27.070249
