episode,episode_reward,episode_steps,timesteps,fps,timestamp
1,-3.750000,38,152,0,2026-03-18T01:55:59.810434
2,-3.400000,38,152,0,2026-03-18T01:55:59.810434
3,-3.050000,38,152,0,2026-03-18T01:55:59.810434
4,0.850000,50,200,0,2026-03-18T01:55:59.822445
5,-2.850000,45,332,0,2026-03-18T01:55:59.853473
6,-0.100001,50,352,0,2026-03-18T01:55:59.858478
7,-3.350000,38,352,0,2026-03-18T01:55:59.858478
8,2.350000,64,408,0,2026-03-18T01:55:59.871490
9,-3.400000,37,480,0,2026-03-18T01:55:59.888044
10,-3.800000,38,504,0,2026-03-18T01:55:59.894050
11,1.700000,49,548,0,2026-03-18T01:55:59.904059
12,-1.550000,47,596,0,2026-03-18T01:55:59.917071
13,-3.750001,40,708,0,2026-03-18T01:55:59.944095
14,5.550000,63,756,0,2026-03-18T01:55:59.956106
15,2.200000,71,764,0,2026-03-18T01:55:59.958108
16,-0.750000,46,780,0,2026-03-18T01:55:59.962112
17,-3.150000,37,912,0,2026-03-18T01:55:59.996143
18,0.850000,61,952,0,2026-03-18T01:56:00.007153
19,-2.300000,46,964,0,2026-03-18T01:56:00.010155
20,0.700000,56,980,0,2026-03-18T01:56:00.014159
21,-3.450001,44,1088,0,2026-03-18T01:56:00.248370
22,-2.500000,37,1100,0,2026-03-18T01:56:00.251373
23,-1.250000,47,1152,0,2026-03-18T01:56:00.264386
24,3.200000,61,1224,0,2026-03-18T01:56:00.281400
25,-3.400000,38,1304,0,2026-03-18T01:56:00.299418
26,3.950000,60,1328,0,2026-03-18T01:56:00.305423
27,3.300000,63,1352,0,2026-03-18T01:56:00.311429
28,-3.300000,38,1376,0,2026-03-18T01:56:00.317434
29,-1.450000,40,1464,0,2026-03-18T01:56:00.338453
30,-3.050000,38,1528,0,2026-03-18T01:56:00.354468
31,13.400002,58,1560,0,2026-03-18T01:56:00.363475
32,3.050000,64,1608,0,2026-03-18T01:56:00.374485
33,-3.000000,38,1616,0,2026-03-18T01:56:00.376488
34,-2.200000,38,1680,0,2026-03-18T01:56:00.392503
35,0.300000,57,1788,0,2026-03-18T01:56:00.428534
36,-0.400000,50,1816,0,2026-03-18T01:56:00.436541
37,-2.850000,37,1828,0,2026-03-18T01:56:00.439545
38,2.500000,68,1880,0,2026-03-18T01:56:00.452556
39,-1.400000,43,1960,0,2026-03-18T01:56:00.474576
40,-2.800000,37,1976,0,2026-03-18T01:56:00.479580
