episode,episode_reward,episode_steps,timesteps,fps,timestamp
1,-3.180000,38,152,0,2026-03-18T17:37:12.908566
2,-2.960000,38,152,0,2026-03-18T17:37:12.908566
3,-3.490000,39,156,0,2026-03-18T17:37:12.910568
4,0.500000,64,256,0,2026-03-18T17:37:12.937591
5,-3.430000,37,304,0,2026-03-18T17:37:12.950604
6,-2.170000,48,344,0,2026-03-18T17:37:12.961613
7,-1.040000,48,344,0,2026-03-18T17:37:12.961613
8,-2.170000,43,476,0,2026-03-18T17:37:12.995668
9,-2.280000,40,504,0,2026-03-18T17:37:13.003651
10,-1.090000,67,524,0,2026-03-18T17:37:13.009657
11,-3.050000,39,680,0,2026-03-18T17:37:13.049693
12,0.200001,51,680,0,2026-03-18T17:37:13.049693
13,-0.740000,48,696,0,2026-03-18T17:37:13.054698
14,-3.170000,38,832,0,2026-03-18T17:37:13.089730
15,-2.960000,38,848,0,2026-03-18T17:37:13.095735
16,-1.510000,55,900,0,2026-03-18T17:37:13.109748
17,-3.379999,45,1012,0,2026-03-18T17:37:13.138774
18,-2.960000,43,1020,0,2026-03-18T17:37:13.141778
19,-2.520000,44,1076,0,2026-03-18T17:37:13.318937
20,-1.849999,55,1240,0,2026-03-18T17:37:13.359975
21,-1.690000,55,1296,0,2026-03-18T17:37:13.374989
22,2.800001,79,1328,0,2026-03-18T17:37:13.382996
23,-2.610000,40,1400,0,2026-03-18T17:37:13.404015
24,0.480000,53,1540,0,2026-03-18T17:37:13.449056
25,1.040000,63,1548,0,2026-03-18T17:37:13.453059
26,-4.169999,39,1696,0,2026-03-18T17:37:13.507682
27,5.229999,83,1732,0,2026-03-18T17:37:13.518693
28,0.550000,62,1796,0,2026-03-18T17:37:13.537709
29,-3.600000,37,1844,0,2026-03-18T17:37:13.553253
30,0.880000,60,1972,0,2026-03-18T17:37:13.590287
31,-1.440000,59,2032,0,2026-03-18T17:37:13.609304
