episode,episode_reward,episode_steps,timesteps,fps,timestamp
1,-1.000000,37,304,0,2026-03-17T22:55:47.684281
2,4.000000,46,376,0,2026-03-17T22:55:47.692069
3,1.000000,48,392,0,2026-03-17T22:55:47.692069
4,4.000000,51,416,0,2026-03-17T22:55:47.692069
5,5.000000,58,472,0,2026-03-17T22:55:47.705331
6,3.000000,62,504,0,2026-03-17T22:55:47.705331
7,0.000000,40,624,0,2026-03-17T22:55:47.732125
8,12.000000,84,680,0,2026-03-17T22:55:47.732125
9,-1.000000,38,720,0,2026-03-17T22:55:47.745316
10,3.000000,55,816,0,2026-03-17T22:55:47.758661
11,8.000000,68,920,0,2026-03-17T22:55:47.772044
12,3.000000,55,944,0,2026-03-17T22:55:47.772044
13,6.000000,71,960,0,2026-03-17T22:55:47.772044
14,4.000000,63,976,0,2026-03-17T22:55:47.772044
15,0.000000,46,992,0,2026-03-17T22:55:47.785350
16,0.000000,40,1040,0,2026-03-17T22:55:47.785350
17,1.000000,49,1072,0,2026-03-17T22:55:47.798155
18,-1.000000,37,1216,0,2026-03-17T22:55:47.811964
19,-1.000000,38,1248,0,2026-03-17T22:55:47.811964
20,-1.000000,38,1264,0,2026-03-17T22:55:47.825476
21,-1.000000,38,1296,0,2026-03-17T22:55:47.825476
22,9.000000,62,1312,0,2026-03-17T22:55:47.825476
23,-1.000000,38,1344,0,2026-03-17T22:55:47.838775
24,4.000000,50,1376,0,2026-03-17T22:55:47.838775
25,-1.000000,39,1576,0,2026-03-17T22:55:47.871462
26,-1.000000,38,1600,0,2026-03-17T22:55:47.875466
27,1.000000,52,1632,0,2026-03-17T22:55:47.880471
28,4.000000,49,1640,0,2026-03-17T22:55:47.881472
29,-1.000000,38,1680,0,2026-03-17T22:55:47.885501
30,3.000000,55,1752,0,2026-03-17T22:55:47.892123
31,0.000000,40,1896,0,2026-03-17T22:55:47.905416
32,-1.000000,38,1936,0,2026-03-17T22:55:47.918677
33,-1.000000,38,1944,0,2026-03-17T22:55:47.918677
34,0.000000,45,1960,0,2026-03-17T22:55:47.918677
35,-1.000000,38,1984,0,2026-03-17T22:55:47.918677
36,3.000000,54,2072,0,2026-03-17T22:55:48.255330
37,-1.000000,37,2192,0,2026-03-17T22:55:48.268987
38,0.000000,40,2264,0,2026-03-17T22:55:48.284993
39,-1.000000,39,2296,0,2026-03-17T22:55:48.289998
40,0.000000,46,2304,0,2026-03-17T22:55:48.292000
41,4.000000,46,2328,0,2026-03-17T22:55:48.296003
42,17.000000,92,2488,0,2026-03-17T22:55:48.319088
43,-1.000000,38,2568,0,2026-03-17T22:55:48.332323
44,-1.000000,37,2592,0,2026-03-17T22:55:48.332323
45,7.000000,69,2624,0,2026-03-17T22:55:48.332323
46,-1.000000,39,2640,0,2026-03-17T22:55:48.332323
47,7.000000,59,2664,0,2026-03-17T22:55:48.345611
48,4.000000,64,2816,0,2026-03-17T22:55:48.358801
49,-1.000000,37,2864,0,2026-03-17T22:55:48.372296
50,-1.000000,38,2896,0,2026-03-17T22:55:48.372296
51,-1.000000,38,2944,0,2026-03-17T22:55:48.385677
52,19.000000,74,3080,0,2026-03-17T22:55:48.414093
53,-1.000000,38,3120,0,2026-03-17T22:55:48.420772
54,9.000000,75,3264,0,2026-03-17T22:55:48.438927
55,2.000000,48,3280,0,2026-03-17T22:55:48.438927
56,10.000000,84,3296,0,2026-03-17T22:55:48.438927
57,5.000000,59,3416,0,2026-03-17T22:55:48.465059
58,0.000000,41,3448,0,2026-03-17T22:55:48.465586
59,4.000000,56,3528,0,2026-03-17T22:55:48.483019
60,-1.000000,38,3584,0,2026-03-17T22:55:48.483019
61,0.000000,40,3600,0,2026-03-17T22:55:48.492319
62,0.000000,46,3664,0,2026-03-17T22:55:48.502334
63,3.000000,55,3704,0,2026-03-17T22:55:48.505607
64,-1.000000,37,3744,0,2026-03-17T22:55:48.505607
65,2.000000,48,3800,0,2026-03-17T22:55:48.524057
66,-1.000000,38,3888,0,2026-03-17T22:55:48.538126
67,2.000000,48,3912,0,2026-03-17T22:55:48.541156
68,-1.000000,38,4008,0,2026-03-17T22:55:48.545837
69,0.000000,47,4040,0,2026-03-17T22:55:48.558882
70,-1.000000,40,4064,0,2026-03-17T22:55:48.558882
71,2.000000,47,4176,0,2026-03-17T22:55:48.905689
72,-1.000000,38,4192,0,2026-03-17T22:55:48.905689
73,-1.000000,38,4216,0,2026-03-17T22:55:48.919473
74,-1.000000,37,4360,0,2026-03-17T22:55:48.935516
75,5.000000,57,4464,0,2026-03-17T22:55:48.947770
76,-1.000000,38,4496,0,2026-03-17T22:55:48.959013
77,7.000000,60,4520,0,2026-03-17T22:55:48.959013
78,17.000000,55,4616,0,2026-03-17T22:55:48.972264
79,0.000000,40,4680,0,2026-03-17T22:55:48.985601
80,-1.000000,38,4824,0,2026-03-17T22:55:49.003122
81,2.000000,48,4848,0,2026-03-17T22:55:49.012553
82,0.000000,46,4864,0,2026-03-17T22:55:49.012553
83,0.000000,45,4976,0,2026-03-17T22:55:49.025588
84,5.000000,63,5024,0,2026-03-17T22:55:49.025588
85,0.000000,46,5048,0,2026-03-17T22:55:49.039063
86,-1.000000,38,5280,0,2026-03-17T22:55:49.065691
87,10.000000,66,5352,0,2026-03-17T22:55:49.079031
88,20.000000,65,5368,0,2026-03-17T22:55:49.079031
89,4.000000,65,5568,0,2026-03-17T22:55:49.109546
90,9.000000,70,5584,0,2026-03-17T22:55:49.109546
91,4.000000,50,5680,0,2026-03-17T22:55:49.120052
92,1.000000,48,5736,0,2026-03-17T22:55:49.132366
93,-1.000000,38,5872,0,2026-03-17T22:55:49.155822
94,8.000000,68,5912,0,2026-03-17T22:55:49.159084
95,4.000000,46,6048,0,2026-03-17T22:55:49.182501
