episode,episode_reward,episode_steps,timesteps,fps,timestamp
1,-80.000000,153,1224,0,2026-03-20T18:00:47.278613
2,-76.000000,155,1240,0,2026-03-20T18:00:47.281615
3,-82.000000,181,1448,0,2026-03-20T18:00:47.307638
4,-82.500000,182,1456,0,2026-03-20T18:00:47.309640
5,-79.000000,201,1608,0,2026-03-20T18:00:47.328658
6,-97.000000,243,1944,0,2026-03-20T18:00:47.370696
7,-122.500000,255,2040,0,2026-03-20T18:00:47.383708
8,-137.000000,287,2296,0,2026-03-20T18:00:47.757048
9,-62.000000,153,2464,0,2026-03-20T18:00:47.780067
10,-65.500000,158,2720,0,2026-03-20T18:00:47.812603
11,-70.000000,152,2824,0,2026-03-20T18:00:47.826616
12,-90.500000,219,2976,0,2026-03-20T18:00:47.845633
13,-74.000000,195,3008,0,2026-03-20T18:00:47.850637
14,-68.500000,168,3288,0,2026-03-20T18:00:47.887671
15,-66.000000,154,3528,0,2026-03-20T18:00:47.921702
16,-75.500000,215,3760,0,2026-03-20T18:00:47.951729
17,-54.500000,164,3776,0,2026-03-20T18:00:47.954732
18,-64.500000,164,4136,0,2026-03-20T18:00:48.172930
19,-54.000000,153,4200,0,2026-03-20T18:00:48.181938
20,-64.000000,189,4232,0,2026-03-20T18:00:48.185942
21,-61.000000,193,4552,0,2026-03-20T18:00:48.229981
22,-62.500000,155,4768,0,2026-03-20T18:00:48.258542
23,-39.000000,154,4992,0,2026-03-20T18:00:48.287568
24,-64.500000,216,5016,0,2026-03-20T18:00:48.291571
25,-47.000000,186,5264,0,2026-03-20T18:00:48.323600
26,-32.500000,146,5304,0,2026-03-20T18:00:48.328606
27,-36.500000,146,5368,0,2026-03-20T18:00:48.337614
28,-52.000000,195,5792,0,2026-03-20T18:00:48.391167
29,-45.000000,156,5800,0,2026-03-20T18:00:48.393169
30,-43.500000,159,6264,0,2026-03-20T18:00:48.743659
31,-40.500000,168,6360,0,2026-03-20T18:00:48.755670
32,-42.500000,170,6728,0,2026-03-20T18:00:48.807198
33,-44.000000,186,6792,0,2026-03-20T18:00:48.817042
34,-25.500000,150,6992,0,2026-03-20T18:00:48.843629
35,-64.500000,279,7000,0,2026-03-20T18:00:48.845630
36,-37.500000,218,7008,0,2026-03-20T18:00:48.846631
37,-48.500000,216,7528,0,2026-03-20T18:00:48.913220
38,-29.500000,149,7552,0,2026-03-20T18:00:48.917223
39,-35.500000,149,7984,0,2026-03-20T18:00:48.974275
40,-19.000000,146,8168,0,2026-03-20T18:00:48.998297
41,-38.500000,239,8176,0,2026-03-20T18:00:49.000298
42,-45.500000,210,8408,0,2026-03-20T18:00:49.304574
43,-29.500000,182,8464,0,2026-03-20T18:00:49.312581
44,-33.000000,187,8488,0,2026-03-20T18:00:49.315090
45,-28.500000,178,8952,0,2026-03-20T18:00:49.374142
46,-39.500000,195,9112,0,2026-03-20T18:00:49.394161
47,-10.000000,149,9176,0,2026-03-20T18:00:49.403169
48,-28.000000,155,9416,0,2026-03-20T18:00:49.434197
49,-17.500000,149,9680,0,2026-03-20T18:00:49.470241
50,-28.000000,172,9784,0,2026-03-20T18:00:49.483253
51,-33.500000,217,9904,0,2026-03-20T18:00:49.499267
52,-22.500000,195,10024,0,2026-03-20T18:00:49.515282
53,-21.500000,146,10120,0,2026-03-20T18:00:49.528294
54,-20.000000,146,10280,0,2026-03-20T18:00:49.631400
55,-19.000000,146,10584,0,2026-03-20T18:00:49.673438
56,-22.000000,206,10824,0,2026-03-20T18:00:49.704466
