episode,episode_reward,episode_steps,timesteps,fps,timestamp
1,-1.530000,37,296,0,2026-03-18T00:43:05.031769
2,-1.590000,37,296,0,2026-03-18T00:43:05.031769
3,-1.390000,38,304,0,2026-03-18T00:43:05.032770
4,-1.510000,39,312,0,2026-03-18T00:43:05.034772
5,-1.710000,39,312,0,2026-03-18T00:43:05.034772
6,0.480000,47,376,0,2026-03-18T00:43:05.045781
7,10.980000,67,536,0,2026-03-18T00:43:05.072313
8,-1.650000,38,600,0,2026-03-18T00:43:05.083323
9,-1.720000,38,616,0,2026-03-18T00:43:05.086325
10,21.779985,80,640,0,2026-03-18T00:43:05.090329
11,-0.420000,44,656,0,2026-03-18T00:43:05.094332
12,0.610000,52,728,0,2026-03-18T00:43:05.106344
13,-1.590000,38,840,0,2026-03-18T00:43:05.126082
14,3.260000,59,848,0,2026-03-18T00:43:05.128084
15,-1.480000,37,896,0,2026-03-18T00:43:05.135090
16,-1.370000,37,952,0,2026-03-18T00:43:05.145099
17,12.690002,88,1000,0,2026-03-18T00:43:05.153107
18,1.220000,48,1024,0,2026-03-18T00:43:05.158111
19,2.270000,54,1048,0,2026-03-18T00:43:05.162115
20,3.100000,50,1128,0,2026-03-18T00:43:05.175127
21,-1.430000,38,1144,0,2026-03-18T00:43:05.180132
22,-1.600000,40,1168,0,2026-03-18T00:43:05.185135
23,-1.480000,38,1200,0,2026-03-18T00:43:05.192141
24,-1.510000,39,1312,0,2026-03-18T00:43:05.210158
25,2.230000,54,1384,0,2026-03-18T00:43:05.223170
26,0.340000,46,1416,0,2026-03-18T00:43:05.229175
27,-1.690000,39,1440,0,2026-03-18T00:43:05.233179
28,-1.450000,38,1448,0,2026-03-18T00:43:05.235181
29,-1.480000,38,1504,0,2026-03-18T00:43:05.244189
30,4.040000,66,1552,0,2026-03-18T00:43:05.253198
31,-1.650000,38,1616,0,2026-03-18T00:43:05.263206
32,-1.740000,39,1728,0,2026-03-18T00:43:05.284225
33,-0.650000,46,1752,0,2026-03-18T00:43:05.289230
34,-1.540000,39,1752,0,2026-03-18T00:43:05.289230
35,-1.550000,39,1816,0,2026-03-18T00:43:05.301240
36,-0.670000,46,1816,0,2026-03-18T00:43:05.301240
37,25.959993,83,1832,0,2026-03-18T00:43:05.304244
38,-0.670000,45,1912,0,2026-03-18T00:43:05.317256
39,-0.610000,41,2080,0,2026-03-18T00:43:05.858627
40,1.250000,48,2112,0,2026-03-18T00:43:05.865633
41,-1.560000,38,2120,0,2026-03-18T00:43:05.867635
42,0.390000,46,2120,0,2026-03-18T00:43:05.867635
43,4.939999,65,2136,0,2026-03-18T00:43:05.871640
44,-1.680000,38,2136,0,2026-03-18T00:43:05.871640
45,-1.300000,38,2216,0,2026-03-18T00:43:05.886652
46,-0.700000,43,2424,0,2026-03-18T00:43:05.923686
47,-0.460000,41,2448,0,2026-03-18T00:43:05.928690
48,-0.400000,47,2496,0,2026-03-18T00:43:05.939701
49,1.340000,49,2528,0,2026-03-18T00:43:05.945706
50,3.199999,55,2576,0,2026-03-18T00:43:05.954714
51,6.109999,59,2584,0,2026-03-18T00:43:05.956716
52,4.969999,67,2752,0,2026-03-18T00:43:05.984741
53,-1.470000,38,2832,0,2026-03-18T00:43:05.998754
54,-1.190000,38,2888,0,2026-03-18T00:43:06.007762
55,6.329999,59,2896,0,2026-03-18T00:43:06.009764
56,10.889999,74,3088,0,2026-03-18T00:43:06.040792
57,0.410000,48,3136,0,2026-03-18T00:43:06.049800
58,11.830001,89,3160,0,2026-03-18T00:43:06.055806
59,19.809998,75,3176,0,2026-03-18T00:43:06.059809
60,-1.480000,38,3200,0,2026-03-18T00:43:06.064320
61,1.300000,47,3208,0,2026-03-18T00:43:06.065321
62,2.460000,55,3328,0,2026-03-18T00:43:06.090343
63,-0.340000,40,3408,0,2026-03-18T00:43:06.105357
64,-1.560000,38,3440,0,2026-03-18T00:43:06.111870
65,-1.290000,38,3480,0,2026-03-18T00:43:06.117876
66,1.160000,48,3544,0,2026-03-18T00:43:06.127885
67,-1.560000,38,3632,0,2026-03-18T00:43:06.141899
68,3.120000,53,3632,0,2026-03-18T00:43:06.141899
69,2.060000,63,3704,0,2026-03-18T00:43:06.153909
70,1.370000,47,3856,0,2026-03-18T00:43:06.178931
71,6.170000,60,3888,0,2026-03-18T00:43:06.184937
72,16.080000,57,3896,0,2026-03-18T00:43:06.185938
73,0.610000,46,3912,0,2026-03-18T00:43:06.188941
74,-1.440000,37,3928,0,2026-03-18T00:43:06.192944
75,-1.280000,38,3936,0,2026-03-18T00:43:06.194946
76,-1.650000,38,4008,0,2026-03-18T00:43:06.205461
77,-1.400000,38,4160,0,2026-03-18T00:43:06.555218
78,-1.450000,38,4216,0,2026-03-18T00:43:06.565226
79,-1.570000,37,4232,0,2026-03-18T00:43:06.568229
80,8.039999,63,4400,0,2026-03-18T00:43:06.596255
81,-1.480000,38,4464,0,2026-03-18T00:43:06.608701
82,4.989999,74,4480,0,2026-03-18T00:43:06.611215
83,8.889999,72,4504,0,2026-03-18T00:43:06.615214
84,8.819999,66,4536,0,2026-03-18T00:43:06.621220
85,-0.720000,40,4552,0,2026-03-18T00:43:06.624222
86,-1.580000,37,4800,0,2026-03-18T00:43:06.662865
87,-1.510000,38,4856,0,2026-03-18T00:43:06.671874
88,-0.700000,46,4904,0,2026-03-18T00:43:06.678880
89,5.110000,64,4912,0,2026-03-18T00:43:06.680882
90,9.839999,87,4912,0,2026-03-18T00:43:06.680882
91,6.869998,64,4976,0,2026-03-18T00:43:06.690891
92,8.039999,64,4992,0,2026-03-18T00:43:06.693893
93,-1.570000,38,5160,0,2026-03-18T00:43:06.718916
94,3.150000,52,5216,0,2026-03-18T00:43:06.729926
95,-1.570000,39,5224,0,2026-03-18T00:43:06.730927
96,-1.600000,38,5280,0,2026-03-18T00:43:06.739936
97,1.230000,47,5368,0,2026-03-18T00:43:06.754454
98,8.809999,66,5432,0,2026-03-18T00:43:06.765465
99,-0.610000,45,5520,0,2026-03-18T00:43:06.778476
100,12.420001,86,5600,0,2026-03-18T00:43:06.790488
101,-1.810000,39,5680,0,2026-03-18T00:43:06.802499
102,1.160000,60,5760,0,2026-03-18T00:43:06.814509
103,1.350000,47,5808,0,2026-03-18T00:43:06.822517
104,-0.700000,46,5888,0,2026-03-18T00:43:06.834527
105,10.760000,88,5928,0,2026-03-18T00:43:06.840533
106,14.520000,90,5936,0,2026-03-18T00:43:06.842774
107,1.260000,46,6128,0,2026-03-18T00:43:06.874804
108,8.749998,76,6208,0,2026-03-18T00:43:07.193287
109,1.300000,53,6232,0,2026-03-18T00:43:07.196290
110,-1.430000,38,6240,0,2026-03-18T00:43:07.198292
111,8.040000,73,6264,0,2026-03-18T00:43:07.202295
112,-1.570000,38,6432,0,2026-03-18T00:43:07.225731
113,-1.740000,38,6512,0,2026-03-18T00:43:07.238742
114,0.240000,47,6616,0,2026-03-18T00:43:07.253756
