episode,episode_reward,episode_steps,timesteps,fps,timestamp
1,-1.350000,38,304,0,2026-03-18T01:19:58.199517
2,-0.580000,41,328,0,2026-03-18T01:19:58.203519
3,-0.600000,47,376,0,2026-03-18T01:19:58.211526
4,1.570000,47,376,0,2026-03-18T01:19:58.211526
5,0.500000,48,384,0,2026-03-18T01:19:58.213528
6,-1.540000,38,608,0,2026-03-18T01:19:58.246558
7,-1.420000,37,624,0,2026-03-18T01:19:58.249561
8,24.089998,78,624,0,2026-03-18T01:19:58.249561
9,10.020000,80,640,0,2026-03-18T01:19:58.252564
10,-1.390000,38,680,0,2026-03-18T01:19:58.257568
11,-1.430000,38,688,0,2026-03-18T01:19:58.260572
12,11.830000,92,736,0,2026-03-18T01:19:58.266576
13,2.280000,55,816,0,2026-03-18T01:19:58.279588
14,-0.460000,40,944,0,2026-03-18T01:19:58.299607
15,-1.370000,37,976,0,2026-03-18T01:19:58.304611
16,-1.500000,38,992,0,2026-03-18T01:19:58.307614
17,1.420000,49,1016,0,2026-03-18T01:19:58.311618
18,-1.480000,38,1040,0,2026-03-18T01:19:58.315621
19,3.330000,55,1048,0,2026-03-18T01:19:58.317623
20,0.200000,52,1056,0,2026-03-18T01:19:58.318624
21,3.380000,49,1208,0,2026-03-18T01:19:58.339643
22,-0.510000,40,1312,0,2026-03-18T01:19:58.356658
23,-0.580000,43,1320,0,2026-03-18T01:19:58.357659
24,-0.780000,47,1320,0,2026-03-18T01:19:58.357659
25,-1.570000,38,1344,0,2026-03-18T01:19:58.361663
26,-1.480000,37,1344,0,2026-03-18T01:19:58.361663
27,7.189998,64,1568,0,2026-03-18T01:19:58.395694
28,6.159999,72,1592,0,2026-03-18T01:19:58.399697
29,-1.530000,38,1616,0,2026-03-18T01:19:58.402700
30,-0.370000,40,1640,0,2026-03-18T01:19:58.406704
31,2.280000,55,1648,0,2026-03-18T01:19:58.408705
32,-1.620000,38,1648,0,2026-03-18T01:19:58.408705
33,-0.580000,43,1664,0,2026-03-18T01:19:58.410707
34,2.220000,55,1784,0,2026-03-18T01:19:58.428723
35,-1.520000,39,1880,0,2026-03-18T01:19:58.442736
36,-0.720000,40,1912,0,2026-03-18T01:19:58.448742
37,-1.490000,38,1944,0,2026-03-18T01:19:58.453746
38,-1.490000,38,1952,0,2026-03-18T01:19:58.455748
39,-1.390000,38,1952,0,2026-03-18T01:19:58.455748
40,-1.490000,38,1968,0,2026-03-18T01:19:58.458752
41,-1.390000,39,2096,0,2026-03-18T01:19:58.786542
42,-1.470000,38,2184,0,2026-03-18T01:19:58.800554
43,8.040000,75,2216,0,2026-03-18T01:19:58.806560
44,-1.480000,38,2248,0,2026-03-18T01:19:58.811564
45,-0.540000,46,2280,0,2026-03-18T01:19:58.816568
46,0.450000,47,2344,0,2026-03-18T01:19:58.827578
47,16.319998,57,2408,0,2026-03-18T01:19:58.838589
48,3.360000,55,2536,0,2026-03-18T01:19:58.858607
49,6.709997,75,2552,0,2026-03-18T01:19:58.862610
50,3.300000,49,2608,0,2026-03-18T01:19:58.870617
51,5.429999,58,2648,0,2026-03-18T01:19:58.877623
52,-0.530000,43,2752,0,2026-03-18T01:19:58.894639
53,3.150000,64,2792,0,2026-03-18T01:19:58.901767
54,16.309998,57,2800,0,2026-03-18T01:19:58.903648
55,-1.470000,37,2832,0,2026-03-18T01:19:58.909652
56,-1.380000,38,2912,0,2026-03-18T01:19:58.921664
57,-1.450000,37,2944,0,2026-03-18T01:19:58.927669
58,2.210000,52,2968,0,2026-03-18T01:19:58.930672
59,-1.520000,39,3112,0,2026-03-18T01:19:58.953693
60,-1.430000,38,3136,0,2026-03-18T01:19:58.956696
61,-1.510000,38,3216,0,2026-03-18T01:19:58.969707
62,6.229999,59,3224,0,2026-03-18T01:19:58.971709
63,2.360000,54,3224,0,2026-03-18T01:19:58.971709
64,-1.550000,37,3264,0,2026-03-18T01:19:58.977715
65,-1.410000,38,3416,0,2026-03-18T01:19:59.001736
66,4.010000,67,3480,0,2026-03-18T01:19:59.011745
67,1.270000,47,3512,0,2026-03-18T01:19:59.016750
68,-1.680000,38,3520,0,2026-03-18T01:19:59.017751
69,-0.630000,44,3576,0,2026-03-18T01:19:59.026759
70,-0.660000,40,3584,0,2026-03-18T01:19:59.027760
