episode,episode_reward,episode_steps,timesteps,fps,timestamp
1,-1.000000,37,304,0,2026-03-17T22:14:08.057461
2,-1.000000,38,312,0,2026-03-17T22:14:08.059463
3,-1.000000,39,320,0,2026-03-17T22:14:08.061466
4,0.000000,47,384,0,2026-03-17T22:14:08.073759
5,8.000000,69,560,0,2026-03-17T22:14:08.103359
6,22.000000,71,576,0,2026-03-17T22:14:08.106785
7,-1.000000,39,624,0,2026-03-17T22:14:08.115178
8,-1.000000,38,688,0,2026-03-17T22:14:08.125194
9,1.000000,54,752,0,2026-03-17T22:14:08.135265
10,6.000000,64,816,0,2026-03-17T22:14:08.144711
11,-1.000000,38,864,0,2026-03-17T22:14:08.152835
12,-1.000000,40,944,0,2026-03-17T22:14:08.165166
13,5.000000,58,1040,0,2026-03-17T22:14:08.179532
14,4.000000,62,1056,0,2026-03-17T22:14:08.182535
15,-1.000000,38,1168,0,2026-03-17T22:14:08.199927
16,0.000000,46,1184,0,2026-03-17T22:14:08.202929
17,5.000000,54,1376,0,2026-03-17T22:14:08.232001
18,2.000000,49,1432,0,2026-03-17T22:14:08.241475
19,-1.000000,38,1488,0,2026-03-17T22:14:08.249590
20,0.000000,43,1528,0,2026-03-17T22:14:08.256936
21,7.000000,62,1552,0,2026-03-17T22:14:08.259938
22,3.000000,55,1608,0,2026-03-17T22:14:08.267749
23,3.000000,55,1624,0,2026-03-17T22:14:08.270750
24,0.000000,45,1736,0,2026-03-17T22:14:08.287428
25,-1.000000,38,1792,0,2026-03-17T22:14:08.296548
26,-1.000000,38,1832,0,2026-03-17T22:14:08.302684
27,-1.000000,39,1864,0,2026-03-17T22:14:08.308153
28,2.000000,59,1904,0,2026-03-17T22:14:08.314278
29,-1.000000,38,1928,0,2026-03-17T22:14:08.318163
30,0.000000,46,1976,0,2026-03-17T22:14:08.326289
31,1.000000,48,2120,0,2026-03-17T22:14:08.771120
32,2.000000,48,2176,0,2026-03-17T22:14:08.781932
33,0.000000,40,2184,0,2026-03-17T22:14:08.785056
34,-1.000000,38,2208,0,2026-03-17T22:14:08.790183
35,-1.000000,38,2280,0,2026-03-17T22:14:08.803401
36,4.000000,46,2296,0,2026-03-17T22:14:08.807406
37,-1.000000,38,2424,0,2026-03-17T22:14:08.832462
38,8.000000,75,2432,0,2026-03-17T22:14:08.834462
39,-1.000000,37,2472,0,2026-03-17T22:14:08.843952
40,-1.000000,38,2512,0,2026-03-17T22:14:08.852136
41,0.000000,43,2640,0,2026-03-17T22:14:08.878446
42,6.000000,58,2648,0,2026-03-17T22:14:08.880447
43,2.000000,48,2664,0,2026-03-17T22:14:08.884449
44,2.000000,48,2808,0,2026-03-17T22:14:08.916693
45,-1.000000,38,2816,0,2026-03-17T22:14:08.919461
46,17.000000,57,2888,0,2026-03-17T22:14:08.931634
47,8.000000,69,3024,0,2026-03-17T22:14:08.955397
48,0.000000,47,3040,0,2026-03-17T22:14:08.958754
