episode,episode_reward,episode_steps,timesteps,fps,timestamp
1,-1.000000,38,304,0,2026-03-17T23:39:32.481527
2,-1.000000,38,304,0,2026-03-17T23:39:32.481527
3,0.000000,41,328,0,2026-03-17T23:39:32.484530
4,0.000000,47,376,0,2026-03-17T23:39:32.492538
5,4.000000,51,408,0,2026-03-17T23:39:32.498543
6,5.000000,58,464,0,2026-03-17T23:39:32.507551
7,7.000000,59,472,0,2026-03-17T23:39:32.508552
8,-1.000000,38,608,0,2026-03-17T23:39:32.529777
9,0.000000,44,656,0,2026-03-17T23:39:32.538011
10,-1.000000,38,680,0,2026-03-17T23:39:32.542115
11,-1.000000,38,768,0,2026-03-17T23:39:32.555684
12,2.000000,48,856,0,2026-03-17T23:39:32.568695
13,8.000000,68,872,0,2026-03-17T23:39:32.571698
14,-1.000000,37,976,0,2026-03-17T23:39:32.585711
15,14.000000,88,1112,0,2026-03-17T23:39:32.603727
16,4.000000,57,1112,0,2026-03-17T23:39:32.603727
17,-1.000000,38,1280,0,2026-03-17T23:39:32.626748
18,3.000000,57,1328,0,2026-03-17T23:39:32.633754
19,2.000000,59,1328,0,2026-03-17T23:39:32.633754
20,10.000000,79,1400,0,2026-03-17T23:39:32.643763
21,-1.000000,39,1424,0,2026-03-17T23:39:32.647767
22,9.000000,58,1576,0,2026-03-17T23:39:32.672789
23,-1.000000,38,1584,0,2026-03-17T23:39:32.674792
24,-1.000000,38,1632,0,2026-03-17T23:39:32.682928
25,-1.000000,38,1704,0,2026-03-17T23:39:32.693897
26,2.000000,59,1800,0,2026-03-17T23:39:32.708672
27,4.000000,64,1936,0,2026-03-17T23:39:32.726688
28,17.000000,57,2040,0,2026-03-17T23:39:32.739700
29,6.000000,61,2064,0,2026-03-17T23:39:33.110120
30,1.000000,47,2080,0,2026-03-17T23:39:33.113123
31,-1.000000,39,2112,0,2026-03-17T23:39:33.118127
32,-1.000000,38,2344,0,2026-03-17T23:39:33.152158
33,13.000000,93,2376,0,2026-03-17T23:39:33.156162
34,0.000000,40,2400,0,2026-03-17T23:39:33.160166
35,6.000000,65,2456,0,2026-03-17T23:39:33.167172
36,1.000000,49,2456,0,2026-03-17T23:39:33.167172
37,7.000000,68,2656,0,2026-03-17T23:39:33.195197
38,2.000000,48,2728,0,2026-03-17T23:39:33.205206
39,0.000000,45,2736,0,2026-03-17T23:39:33.207208
40,6.000000,60,2936,0,2026-03-17T23:39:33.233232
41,22.000000,69,2952,0,2026-03-17T23:39:33.235233
42,-1.000000,38,2960,0,2026-03-17T23:39:33.236234
43,-1.000000,39,3040,0,2026-03-17T23:39:33.248246
44,9.000000,75,3056,0,2026-03-17T23:39:33.251248
45,0.000000,41,3064,0,2026-03-17T23:39:33.252249
46,-1.000000,38,3344,0,2026-03-17T23:39:33.291284
47,3.000000,52,3352,0,2026-03-17T23:39:33.292285
48,3.000000,54,3392,0,2026-03-17T23:39:33.298291
49,2.000000,48,3440,0,2026-03-17T23:39:33.305297
50,5.000000,67,3488,0,2026-03-17T23:39:33.312303
51,6.000000,61,3552,0,2026-03-17T23:39:33.322312
