episode,episode_reward,episode_steps,timesteps,fps,timestamp
1,-19.900003,38,304,0,2026-03-20T17:46:01.540651
2,-23.700005,39,312,0,2026-03-20T17:46:01.542653
3,-21.100004,40,320,0,2026-03-20T17:46:01.544655
4,-23.900005,41,328,0,2026-03-20T17:46:01.546656
5,-23.800005,43,344,0,2026-03-20T17:46:01.549659
6,-18.300003,43,344,0,2026-03-20T17:46:01.549659
7,-30.000008,47,376,0,2026-03-20T17:46:01.555664
8,-27.300007,47,376,0,2026-03-20T17:46:01.555664
9,-19.400003,40,624,0,2026-03-20T17:46:01.596702
10,-22.000004,39,632,0,2026-03-20T17:46:01.597703
11,-25.900005,38,648,0,2026-03-20T17:46:01.606711
12,-20.000004,43,672,0,2026-03-20T17:46:01.610715
13,-28.200006,46,680,0,2026-03-20T17:46:01.612716
14,-18.900003,47,752,0,2026-03-20T17:46:01.624727
15,-21.700006,53,768,0,2026-03-20T17:46:01.627730
16,-25.700008,64,888,0,2026-03-20T17:46:01.646747
17,-15.400002,37,928,0,2026-03-20T17:46:01.653754
18,-13.900002,38,952,0,2026-03-20T17:46:01.657757
19,-22.100004,37,976,0,2026-03-20T17:46:01.661761
20,-19.000004,49,1064,0,2026-03-20T17:46:01.675774
21,-27.500006,39,1080,0,2026-03-20T17:46:01.678776
22,-27.500010,62,1120,0,2026-03-20T17:46:01.684782
23,-20.800005,48,1136,0,2026-03-20T17:46:01.687784
24,-15.000002,38,1192,0,2026-03-20T17:46:01.696792
25,-22.600004,37,1272,0,2026-03-20T17:46:01.709804
26,-24.000006,47,1304,0,2026-03-20T17:46:01.714809
27,-23.900005,45,1312,0,2026-03-20T17:46:01.716810
28,-22.600004,38,1368,0,2026-03-20T17:46:01.724818
29,-15.500002,37,1376,0,2026-03-20T17:46:01.725819
30,-22.000004,38,1424,0,2026-03-20T17:46:01.733826
31,-12.700001,38,1440,0,2026-03-20T17:46:01.736829
32,-16.000002,37,1568,0,2026-03-20T17:46:01.756847
33,-23.800007,54,1624,0,2026-03-20T17:46:01.764855
34,-21.700005,43,1656,0,2026-03-20T17:46:01.770859
35,-17.100002,38,1672,0,2026-03-20T17:46:01.772861
36,-21.100004,43,1720,0,2026-03-20T17:46:01.780870
37,-21.200006,55,1744,0,2026-03-20T17:46:01.785873
38,-15.300003,45,1784,0,2026-03-20T17:46:01.791879
39,-24.100006,48,1824,0,2026-03-20T17:46:01.798885
40,-20.500004,38,1872,0,2026-03-20T17:46:01.806893
41,-20.700005,46,1992,0,2026-03-20T17:46:01.826911
42,-23.400005,49,2048,0,2026-03-20T17:46:01.836920
43,-16.000002,38,2088,0,2026-03-20T17:46:02.172392
44,-28.400007,46,2088,0,2026-03-20T17:46:02.172392
45,-32.800011,55,2112,0,2026-03-20T17:46:02.176396
46,-18.200003,37,2120,0,2026-03-20T17:46:02.178398
47,-25.200006,50,2144,0,2026-03-20T17:46:02.183403
48,-14.000002,43,2216,0,2026-03-20T17:46:02.195413
49,-13.300001,37,2344,0,2026-03-20T17:46:02.215432
50,-12.600003,47,2368,0,2026-03-20T17:46:02.219435
51,-17.200003,39,2424,0,2026-03-20T17:46:02.229445
52,-20.400003,38,2448,0,2026-03-20T17:46:02.234449
53,-17.400003,49,2480,0,2026-03-20T17:46:02.239454
54,-23.100004,39,2528,0,2026-03-20T17:46:02.247461
55,-15.300003,54,2552,0,2026-03-20T17:46:02.251464
56,-8.599999,61,2576,0,2026-03-20T17:46:02.255468
57,-10.000000,39,2656,0,2026-03-20T17:46:02.268480
58,-17.100002,37,2664,0,2026-03-20T17:46:02.269480
59,-10.000000,37,2776,0,2026-03-20T17:46:02.287497
60,-12.300001,37,2824,0,2026-03-20T17:46:02.294503
61,-11.700001,39,2864,0,2026-03-20T17:46:02.301528
62,-13.200001,38,2880,0,2026-03-20T17:46:02.303530
63,-23.300007,59,2920,0,2026-03-20T17:46:02.310535
64,-13.400002,40,2976,0,2026-03-20T17:46:02.318543
65,-26.300011,78,3048,0,2026-03-20T17:46:02.329553
66,-16.600002,37,3072,0,2026-03-20T17:46:02.333557
67,-17.500004,55,3104,0,2026-03-20T17:46:02.338561
68,-14.900002,37,3120,0,2026-03-20T17:46:02.341563
69,-16.100002,38,3184,0,2026-03-20T17:46:02.351572
70,-12.500008,56,3312,0,2026-03-20T17:46:02.371591
71,-19.000004,44,3328,0,2026-03-20T17:46:02.374593
72,-17.200005,53,3344,0,2026-03-20T17:46:02.377596
73,-17.700003,40,3368,0,2026-03-20T17:46:02.381600
74,-13.200001,37,3416,0,2026-03-20T17:46:02.389608
75,-12.400001,44,3424,0,2026-03-20T17:46:02.390608
76,-19.000004,44,3456,0,2026-03-20T17:46:02.395612
77,-24.800005,37,3480,0,2026-03-20T17:46:02.400617
78,-12.300001,40,3632,0,2026-03-20T17:46:02.423638
79,-14.900002,39,3640,0,2026-03-20T17:46:02.424639
