episode,episode_reward,episode_steps,timesteps,fps,timestamp
1,-84.000000,151,1208,0,2026-03-20T18:35:42.634513
2,-74.000000,155,1240,0,2026-03-20T18:35:42.639518
3,-74.500000,158,1264,0,2026-03-20T18:35:42.642521
4,-85.000000,181,1448,0,2026-03-20T18:35:42.666542
5,-89.500000,195,1560,0,2026-03-20T18:35:42.681556
6,-87.500000,205,1640,0,2026-03-20T18:35:42.692566
7,-103.000000,232,1856,0,2026-03-20T18:35:42.719590
8,-105.000000,256,2048,0,2026-03-20T18:35:42.745614
9,-65.000000,149,2400,0,2026-03-20T18:35:43.119954
10,-80.000000,153,2464,0,2026-03-20T18:35:43.128962
11,-76.000000,150,2464,0,2026-03-20T18:35:43.128962
12,-70.000000,204,3192,0,2026-03-20T18:35:43.233056
13,-57.000000,151,3256,0,2026-03-20T18:35:43.241064
14,-78.000000,205,3280,0,2026-03-20T18:35:43.245067
15,-84.500000,202,3472,0,2026-03-20T18:35:43.270090
16,-52.000000,154,3632,0,2026-03-20T18:35:43.291109
17,-59.000000,156,3712,0,2026-03-20T18:35:43.302119
18,-57.500000,159,3736,0,2026-03-20T18:35:43.305121
19,-94.000000,335,4128,0,2026-03-20T18:35:43.586377
20,-59.500000,193,4800,0,2026-03-20T18:35:43.683350
21,-57.500000,203,4816,0,2026-03-20T18:35:43.685352
22,-45.000000,154,4864,0,2026-03-20T18:35:43.692358
23,-45.000000,156,4984,0,2026-03-20T18:35:43.708373
24,-53.500000,223,5064,0,2026-03-20T18:35:43.719382
25,-39.500000,164,5440,0,2026-03-20T18:35:43.769428
26,-50.000000,219,5464,0,2026-03-20T18:35:43.772430
27,-43.000000,149,5992,0,2026-03-20T18:35:43.841493
28,-44.500000,157,6240,0,2026-03-20T18:35:44.152787
29,-34.500000,180,6304,0,2026-03-20T18:35:44.160794
30,-48.500000,195,6376,0,2026-03-20T18:35:44.170803
31,-22.500000,151,6672,0,2026-03-20T18:35:44.209838
32,-43.500000,205,6704,0,2026-03-20T18:35:44.214843
33,-34.500000,164,6752,0,2026-03-20T18:35:44.221850
34,-26.500000,156,7488,0,2026-03-20T18:35:44.319938
35,-22.500000,193,7536,0,2026-03-20T18:35:44.326945
36,-25.500000,146,7544,0,2026-03-20T18:35:44.328947
37,-26.000000,156,7920,0,2026-03-20T18:35:44.378005
38,-33.500000,181,8200,0,2026-03-20T18:35:44.522147
39,-37.000000,241,8232,0,2026-03-20T18:35:44.527152
40,-30.000000,223,8488,0,2026-03-20T18:35:44.561183
41,-17.500000,146,8712,0,2026-03-20T18:35:44.591210
42,-37.500000,197,9064,0,2026-03-20T18:35:44.636251
43,-23.500000,193,9080,0,2026-03-20T18:35:44.640255
44,-15.500000,151,9128,0,2026-03-20T18:35:44.647261
45,-10.000000,149,9424,0,2026-03-20T18:35:44.687297
46,-17.000000,188,9992,0,2026-03-20T18:35:44.764367
47,-22.000000,157,10320,0,2026-03-20T18:35:44.946037
48,-17.500000,203,10336,0,2026-03-20T18:35:44.949039
49,-10.500000,160,10408,0,2026-03-20T18:35:44.960049
50,-13.000000,175,10480,0,2026-03-20T18:35:44.971060
51,-11.500000,149,10616,0,2026-03-20T18:35:44.988074
52,3.500000,317,10736,0,2026-03-20T18:35:45.005090
53,-5.500000,146,11160,0,2026-03-20T18:35:45.059262
54,-7.000000,146,11504,0,2026-03-20T18:35:45.103302
55,-11.500000,150,11520,0,2026-03-20T18:35:45.106402
56,-6.000000,149,11600,0,2026-03-20T18:35:45.117412
57,-8.000000,149,11672,0,2026-03-20T18:35:45.126420
58,-3.000000,149,11808,0,2026-03-20T18:35:45.144437
59,-2.500000,164,12048,0,2026-03-20T18:35:45.176466
60,-6.000000,146,12328,0,2026-03-20T18:35:45.492764
61,-6.000000,149,13000,0,2026-03-20T18:35:45.581844
62,-5.500000,187,13016,0,2026-03-20T18:35:45.584847
63,-2.000000,195,13064,0,2026-03-20T18:35:45.591853
64,-1.500000,175,13072,0,2026-03-20T18:35:45.593855
65,-1.500000,185,13080,0,2026-03-20T18:35:45.594857
66,-4.500000,146,13216,0,2026-03-20T18:35:45.614874
67,-2.500000,146,13496,0,2026-03-20T18:35:45.651908
68,-3.000000,149,14208,0,2026-03-20T18:35:45.743991
69,-3.000000,146,14232,0,2026-03-20T18:35:45.747995
70,-1.500000,149,14264,0,2026-03-20T18:35:45.751999
71,-2.500000,149,14272,0,2026-03-20T18:35:45.754001
72,-2.000000,146,14384,0,2026-03-20T18:35:46.063874
73,-0.500000,180,14440,0,2026-03-20T18:35:46.071881
74,-1.500000,146,14664,0,2026-03-20T18:35:46.101000
75,-1.500000,149,15400,0,2026-03-20T18:35:46.195993
76,-3.000000,146,15400,0,2026-03-20T18:35:46.195993
77,-1.500000,149,15456,0,2026-03-20T18:35:46.204001
78,-1.000000,149,15464,0,2026-03-20T18:35:46.205002
79,-2.500000,146,15552,0,2026-03-20T18:35:46.219015
80,-1.500000,149,15632,0,2026-03-20T18:35:46.230024
81,-1.500000,146,15832,0,2026-03-20T18:35:46.256048
82,-1.500000,146,16568,0,2026-03-20T18:35:46.624382
83,-2.000000,149,16592,0,2026-03-20T18:35:46.628386
84,-1.000000,149,16648,0,2026-03-20T18:35:46.635392
85,-2.000000,149,16656,0,2026-03-20T18:35:46.637394
86,-1.000000,146,16720,0,2026-03-20T18:35:46.645402
87,-2.500000,149,16824,0,2026-03-20T18:35:46.659681
88,-1.500000,146,17000,0,2026-03-20T18:35:46.681701
89,-1.000000,146,17736,0,2026-03-20T18:35:46.777293
90,-1.500000,149,17784,0,2026-03-20T18:35:46.783298
91,-1.000000,149,17840,0,2026-03-20T18:35:46.791305
92,-1.000000,146,17888,0,2026-03-20T18:35:46.798313
93,-1.000000,149,18016,0,2026-03-20T18:35:46.815327
94,1.000000,185,18136,0,2026-03-20T18:35:46.832343
95,-1.500000,146,18168,0,2026-03-20T18:35:46.837348
96,-1.000000,146,18904,0,2026-03-20T18:35:47.210698
97,-1.500000,149,18976,0,2026-03-20T18:35:47.220707
98,-1.000000,149,19032,0,2026-03-20T18:35:47.229714
99,-1.000000,146,19056,0,2026-03-20T18:35:47.232717
100,-1.000000,149,19208,0,2026-03-20T18:35:47.252735
101,-1.500000,149,19328,0,2026-03-20T18:35:47.269751
102,-1.000000,146,19336,0,2026-03-20T18:35:47.270752
103,-1.500000,146,20072,0,2026-03-20T18:35:47.369859
104,-1.500000,149,20168,0,2026-03-20T18:35:47.382871
105,-1.500000,146,20224,0,2026-03-20T18:35:47.389877
106,-1.000000,149,20224,0,2026-03-20T18:35:47.389877
107,-1.500000,149,20400,0,2026-03-20T18:35:47.413899
108,-1.000000,146,20504,0,2026-03-20T18:35:47.719176
109,-1.000000,149,20520,0,2026-03-20T18:35:47.721178
110,-1.000000,146,21240,0,2026-03-20T18:35:47.812261
111,-1.000000,149,21360,0,2026-03-20T18:35:47.829276
112,-1.000000,146,21392,0,2026-03-20T18:35:47.835281
113,-1.000000,149,21416,0,2026-03-20T18:35:47.839285
114,-1.000000,146,21672,0,2026-03-20T18:35:47.873316
115,-1.000000,149,21712,0,2026-03-20T18:35:47.879321
116,-0.500000,180,21840,0,2026-03-20T18:35:47.897337
117,-2.500000,146,22408,0,2026-03-20T18:35:47.978411
118,-1.000000,149,22552,0,2026-03-20T18:35:48.279978
119,-1.000000,146,22560,0,2026-03-20T18:35:48.281980
120,-1.000000,149,22608,0,2026-03-20T18:35:48.288987
121,-1.000000,146,22840,0,2026-03-20T18:35:48.318953
122,-1.000000,149,22904,0,2026-03-20T18:35:48.327961
123,-1.000000,149,23032,0,2026-03-20T18:35:48.344977
124,-541.000000,2500,23472,0,2026-03-20T18:35:48.404542
125,-1.500000,146,23576,0,2026-03-20T18:35:48.418550
126,-1.000000,146,23728,0,2026-03-20T18:35:48.438568
127,-1.000000,149,23744,0,2026-03-20T18:35:48.442572
128,-1.000000,149,23800,0,2026-03-20T18:35:48.449577
129,-1.000000,146,24008,0,2026-03-20T18:35:48.478593
130,-1.000000,149,24096,0,2026-03-20T18:35:48.489604
131,-1.500000,149,24224,0,2026-03-20T18:35:48.507753
132,-1.000000,146,24640,0,2026-03-20T18:35:48.840065
133,-1.000000,146,24744,0,2026-03-20T18:35:48.854078
134,-1.000000,146,24896,0,2026-03-20T18:35:48.875097
135,-1.000000,149,24936,0,2026-03-20T18:35:48.881103
136,-2.000000,149,24992,0,2026-03-20T18:35:48.889110
137,-1.000000,146,25176,0,2026-03-20T18:35:48.915133
138,-1.000000,149,25288,0,2026-03-20T18:35:48.930147
139,-1.000000,149,25416,0,2026-03-20T18:35:48.947162
140,-1.000000,146,25808,0,2026-03-20T18:35:48.998209
141,-1.500000,146,26064,0,2026-03-20T18:35:49.031239
142,-1.000000,149,26128,0,2026-03-20T18:35:49.039246
143,-1.000000,149,26184,0,2026-03-20T18:35:49.048254
144,3.500000,195,26304,0,2026-03-20T18:35:49.064269
145,-1.000000,146,26344,0,2026-03-20T18:35:49.070274
146,-1.000000,149,26480,0,2026-03-20T18:35:49.088291
147,-1.000000,149,26608,0,2026-03-20T18:35:49.105087
148,-1.000000,146,26976,0,2026-03-20T18:35:49.449940
149,-1.000000,146,27232,0,2026-03-20T18:35:49.483971
150,-1.000000,149,27320,0,2026-03-20T18:35:49.494981
151,-1.000000,149,27376,0,2026-03-20T18:35:49.502988
152,-1.000000,146,27472,0,2026-03-20T18:35:49.517001
153,-1.500000,149,27672,0,2026-03-20T18:35:49.543025
154,-1.000000,149,27800,0,2026-03-20T18:35:49.560040
155,1.500000,188,27848,0,2026-03-20T18:35:49.567046
156,-1.000000,146,28144,0,2026-03-20T18:35:49.607083
157,-1.000000,146,28400,0,2026-03-20T18:35:49.641114
158,-1.000000,149,28512,0,2026-03-20T18:35:49.656127
159,-1.000000,149,28568,0,2026-03-20T18:35:49.664532
160,-1.000000,146,28640,0,2026-03-20T18:35:49.673539
161,-1.000000,149,28864,0,2026-03-20T18:35:49.988117
162,-1.000000,149,28992,0,2026-03-20T18:35:50.005133
