episode,episode_reward,episode_steps,timesteps,fps,timestamp
1,-3.720000,38,152,0,2026-03-18T17:33:58.112875
2,-3.650000,38,152,0,2026-03-18T17:33:58.112875
3,-3.180000,40,160,0,2026-03-18T17:33:58.114876
4,-0.580000,55,220,0,2026-03-18T17:33:58.130891
5,-2.310000,44,328,0,2026-03-18T17:33:58.157915
6,-1.540000,48,344,0,2026-03-18T17:33:58.162921
7,-1.260000,49,356,0,2026-03-18T17:33:58.166923
8,-1.280000,48,412,0,2026-03-18T17:33:58.181937
9,-2.440000,44,520,0,2026-03-18T17:33:58.211964
10,-2.500000,43,528,0,2026-03-18T17:33:58.214967
11,-0.200000,56,552,0,2026-03-18T17:33:58.221973
12,-4.049999,38,564,0,2026-03-18T17:33:58.224976
13,-3.400000,40,712,0,2026-03-18T17:33:58.262010
14,2.770000,57,748,0,2026-03-18T17:33:58.271018
15,-1.150000,48,756,0,2026-03-18T17:33:58.273020
16,4.740001,75,828,0,2026-03-18T17:33:58.291036
17,-3.600000,38,908,0,2026-03-18T17:33:58.312056
18,0.720001,69,988,0,2026-03-18T17:33:58.333074
19,1.120000,70,1028,0,2026-03-18T17:33:58.553275
20,-2.630000,43,1080,0,2026-03-18T17:33:58.567287
21,4.260000,69,1104,0,2026-03-18T17:33:58.573292
22,-2.950000,38,1180,0,2026-03-18T17:33:58.593311
23,-1.160000,49,1184,0,2026-03-18T17:33:58.595312
24,-2.410000,44,1256,0,2026-03-18T17:33:58.613329
25,-1.190000,51,1308,0,2026-03-18T17:33:58.630344
26,1.490000,54,1400,0,2026-03-18T17:33:58.654366
27,-2.740000,38,1408,0,2026-03-18T17:33:58.656368
28,6.440000,70,1460,0,2026-03-18T17:33:58.671381
29,-3.380000,38,1460,0,2026-03-18T17:33:58.671381
30,-3.370000,38,1552,0,2026-03-18T17:33:58.700665
31,-2.610000,37,1608,0,2026-03-18T17:33:58.718409
32,-3.620000,39,1616,0,2026-03-18T17:33:58.720970
33,2.560000,63,1660,0,2026-03-18T17:33:58.733721
34,0.600000,52,1760,0,2026-03-18T17:33:58.758744
35,-2.160000,40,1768,0,2026-03-18T17:33:58.761747
36,-3.260000,38,1768,0,2026-03-18T17:33:58.761747
37,1.260000,52,1868,0,2026-03-18T17:33:58.787771
38,-1.870000,43,1932,0,2026-03-18T17:33:58.804787
39,-0.810000,48,1960,0,2026-03-18T17:33:58.811792
40,-2.950000,38,2020,0,2026-03-18T17:33:58.826805
