episode,episode_reward,episode_steps,timesteps,fps,timestamp
1,-4.300000,38,304,0,2026-03-18T01:58:57.932665
2,-2.850000,38,304,0,2026-03-18T01:58:57.932665
3,-3.350000,38,304,0,2026-03-18T01:58:57.932665
4,-2.500000,47,376,0,2026-03-18T01:58:57.945938
5,-1.950001,47,376,0,2026-03-18T01:58:57.945938
6,0.700000,49,392,0,2026-03-18T01:58:57.949136
7,1.650000,50,400,0,2026-03-18T01:58:57.951404
8,13.150002,57,456,0,2026-03-18T01:58:57.961433
9,-4.100000,38,608,0,2026-03-18T01:58:57.982451
10,-3.450000,38,608,0,2026-03-18T01:58:57.982451
11,-3.400000,38,704,0,2026-03-18T01:58:57.996464
12,-3.150001,54,736,0,2026-03-18T01:58:58.000468
13,-0.950000,48,776,0,2026-03-18T01:58:58.006002
14,0.850000,53,800,0,2026-03-18T01:58:58.009005
15,-0.800000,48,840,0,2026-03-18T01:58:58.015010
16,-3.000000,38,912,0,2026-03-18T01:58:58.025019
17,0.300000,50,1008,0,2026-03-18T01:58:58.039032
18,3.999999,86,1064,0,2026-03-18T01:58:58.047040
19,-2.600000,44,1088,0,2026-03-18T01:58:58.050043
20,-2.000000,46,1144,0,2026-03-18T01:58:58.060051
21,-3.700000,37,1208,0,2026-03-18T01:58:58.069059
22,1.800000,67,1240,0,2026-03-18T01:58:58.074064
23,4.050000,61,1288,0,2026-03-18T01:58:58.081070
24,-0.450000,62,1336,0,2026-03-18T01:58:58.088076
25,-2.450000,47,1384,0,2026-03-18T01:58:58.094082
26,-1.950000,40,1408,0,2026-03-18T01:58:58.097085
27,-2.750000,38,1448,0,2026-03-18T01:58:58.103090
28,4.549999,64,1576,0,2026-03-18T01:58:58.119105
29,-4.450000,39,1648,0,2026-03-18T01:58:58.130114
30,-1.150001,55,1680,0,2026-03-18T01:58:58.135119
31,-3.150000,38,1688,0,2026-03-18T01:58:58.137121
32,0.899999,61,1696,0,2026-03-18T01:58:58.138122
33,-1.550000,49,1800,0,2026-03-18T01:58:58.153136
34,-4.700001,38,1880,0,2026-03-18T01:58:58.165147
35,-2.900000,40,1968,0,2026-03-18T01:58:58.178158
36,-3.700000,38,2000,0,2026-03-18T01:58:58.183163
37,5.649999,84,2120,0,2026-03-18T01:58:58.554835
38,-2.950000,45,2240,0,2026-03-18T01:58:58.570850
39,-2.850000,38,2272,0,2026-03-18T01:58:58.576855
40,5.099999,76,2296,0,2026-03-18T01:58:58.579858
41,-2.900000,38,2304,0,2026-03-18T01:58:58.581860
42,-3.000000,38,2424,0,2026-03-18T01:58:58.599876
43,3.799999,83,2464,0,2026-03-18T01:58:58.605881
44,-2.900000,38,2576,0,2026-03-18T01:58:58.621897
45,-2.200000,41,2624,0,2026-03-18T01:58:58.629903
46,-1.800000,47,2680,0,2026-03-18T01:58:58.637910
47,14.100001,57,2696,0,2026-03-18T01:58:58.639912
48,1.800000,46,2792,0,2026-03-18T01:58:58.652924
49,-2.650000,37,2976,0,2026-03-18T01:58:58.678948
50,4.850000,68,3008,0,2026-03-18T01:58:58.683953
51,0.400000,54,3008,0,2026-03-18T01:58:58.683953
52,-2.450000,43,3040,0,2026-03-18T01:58:58.687957
53,-2.700000,38,3280,0,2026-03-18T01:58:58.720986
54,-3.500000,37,3304,0,2026-03-18T01:58:58.724989
55,-3.450000,38,3312,0,2026-03-18T01:58:58.725990
56,8.100001,93,3368,0,2026-03-18T01:58:58.734998
57,3.550000,59,3512,0,2026-03-18T01:58:58.757019
58,-2.500000,37,3600,0,2026-03-18T01:58:58.770031
59,-2.500000,37,3664,0,2026-03-18T01:58:58.778038
60,0.000000,56,3760,0,2026-03-18T01:58:58.791049
61,-2.000000,51,3920,0,2026-03-18T01:58:58.813069
62,-2.300000,40,3984,0,2026-03-18T01:58:58.822077
63,-2.850000,38,4064,0,2026-03-18T01:58:58.833088
64,2.950000,64,4112,0,2026-03-18T01:58:59.127354
65,-1.000000,46,4288,0,2026-03-18T01:58:59.152377
66,-1.550000,40,4304,0,2026-03-18T01:58:59.154379
67,-2.500000,37,4360,0,2026-03-18T01:58:59.162386
68,0.400000,47,4488,0,2026-03-18T01:58:59.179402
69,-2.800000,38,4592,0,2026-03-18T01:58:59.194415
70,-1.900000,37,4656,0,2026-03-18T01:58:59.204424
71,-2.750000,44,4656,0,2026-03-18T01:58:59.204424
72,-2.000000,40,4976,0,2026-03-18T01:58:59.249465
