episode,episode_reward,episode_steps,timesteps,fps,timestamp
1,-3.050000,39,156,0,2026-03-18T01:56:47.471129
2,-2.100000,44,176,0,2026-03-18T01:56:47.477134
3,-1.850000,55,220,0,2026-03-18T01:56:47.490146
4,2.349999,67,268,0,2026-03-18T01:56:47.504159
5,-2.600000,38,328,0,2026-03-18T01:56:47.521174
6,0.950000,50,356,0,2026-03-18T01:56:47.529181
7,0.750000,54,436,0,2026-03-18T01:56:47.551202
8,-0.200000,47,516,0,2026-03-18T01:56:47.574222
9,3.549999,71,552,0,2026-03-18T01:56:47.585232
10,0.799999,57,664,0,2026-03-18T01:56:47.616260
11,0.449999,57,744,0,2026-03-18T01:56:47.641317
12,1.100000,49,748,0,2026-03-18T01:56:47.643285
13,-2.950000,38,816,0,2026-03-18T01:56:47.664305
14,-2.900000,40,908,0,2026-03-18T01:56:47.691328
15,1.600000,46,1000,0,2026-03-18T01:56:47.716351
16,1.399999,73,1036,0,2026-03-18T01:56:47.889508
17,-0.400000,48,1100,0,2026-03-18T01:56:47.906524
18,-4.100000,38,1152,0,2026-03-18T01:56:47.921537
19,-0.700000,47,1224,0,2026-03-18T01:56:47.942556
20,0.250000,50,1300,0,2026-03-18T01:56:47.964576
21,0.850000,50,1352,0,2026-03-18T01:56:47.978589
22,-1.200001,52,1432,0,2026-03-18T01:56:48.000609
23,-2.350000,37,1500,0,2026-03-18T01:56:48.019628
24,2.850000,61,1544,0,2026-03-18T01:56:48.033639
25,-3.650000,38,1584,0,2026-03-18T01:56:48.044649
26,-2.200000,45,1680,0,2026-03-18T01:56:48.073677
27,0.550000,49,1740,0,2026-03-18T01:56:48.091692
28,-3.200000,38,1832,0,2026-03-18T01:56:48.115714
29,4.050000,65,1844,0,2026-03-18T01:56:48.119717
30,-2.300000,40,1900,0,2026-03-18T01:56:48.134731
31,-2.150000,45,2012,0,2026-03-18T01:56:48.167762
32,0.350000,49,2040,0,2026-03-18T01:56:48.174768
