episode,episode_reward,episode_steps,timesteps,fps,timestamp,seed
1,4.830001,535,4280,0,2026-03-23T17:55:53.364735,30043
2,7.510002,601,4808,0,2026-03-23T17:55:53.407551,60043
3,23.180002,632,5056,0,2026-03-23T17:55:53.423860,50043
4,11.690002,758,6064,0,2026-03-23T17:55:53.502089,20043
5,12.110003,771,6168,0,2026-03-23T17:55:53.673780,40043
6,12.640001,778,6224,0,2026-03-23T17:55:53.677904,43
7,11.930002,808,6464,0,2026-03-23T17:55:53.694161,70043
8,7.000000,387,7904,0,2026-03-23T17:55:53.789914,60044
9,6.400001,574,8872,0,2026-03-23T17:55:53.998611,30044
10,7.160002,585,10744,0,2026-03-23T17:55:54.261320,20044
11,7.750001,618,13816,0,2026-03-23T17:55:54.592192,30045
12,31.180000,801,14312,0,2026-03-23T17:55:54.623054,60045
13,18.889999,519,14896,0,2026-03-23T17:55:54.804489,20045
14,2.710000,369,17848,0,2026-03-23T17:55:55.125282,20046
15,28.820000,710,19496,0,2026-03-23T17:55:55.366350,30046
16,3.500015,2500,20000,0,2026-03-23T17:55:55.398116,10043
17,3.750000,470,21608,0,2026-03-23T17:55:55.634282,20047
18,24.259998,628,24520,0,2026-03-23T17:55:55.966020,30047
19,21.719976,2500,25056,0,2026-03-23T17:55:56.146728,50044
20,12.050001,651,25208,0,2026-03-23T17:55:56.156818,10044
21,3.400014,2500,26168,0,2026-03-23T17:55:56.218596,40044
22,1.760012,2500,26224,0,2026-03-23T17:55:56.222556,44
23,3.070012,2500,26464,0,2026-03-23T17:55:56.238485,70044
24,2.390000,349,27848,0,2026-03-23T17:55:56.493564,50045
25,12.950003,792,27944,0,2026-03-23T17:55:56.563987,20048
26,22.430000,572,29096,0,2026-03-23T17:55:56.801578,30048
27,5.050000,436,29656,0,2026-03-23T17:55:56.840119,40045
28,1.390000,301,30352,0,2026-03-23T17:55:56.886810,20049
29,6.970000,492,30400,0,2026-03-23T17:55:56.890274,70045
