episode,episode_reward,episode_steps,timesteps,fps,timestamp
106,5.190001,468,96280,0,2026-03-23T16:57:38.712367
107,5.190001,441,96696,0,2026-03-23T16:57:38.738970
108,7.400000,480,96944,0,2026-03-23T16:57:38.754407
109,9.840000,403,97368,0,2026-03-23T16:57:38.780527
110,0.340000,201,98304,0,2026-03-23T16:57:38.840795
111,4.910000,371,99000,0,2026-03-23T16:57:39.033722
112,24.069998,2500,99480,0,2026-03-23T16:57:39.065928
113,28.140001,2500,99712,0,2026-03-23T16:57:39.082301
114,-0.390000,190,101000,0,2026-03-23T16:57:39.359135
115,3.930000,321,101568,0,2026-03-23T16:57:39.397077
116,12.400000,474,102096,0,2026-03-23T16:57:39.432470
117,10.649999,595,102128,0,2026-03-23T16:57:39.435869
118,7.880000,390,104120,0,2026-03-23T16:57:39.749922
119,13.639997,672,105088,0,2026-03-23T16:57:39.973451
120,8.610001,388,105200,0,2026-03-23T16:57:39.980923
121,9.210001,475,105368,0,2026-03-23T16:57:39.991767
122,7.559999,413,105432,0,2026-03-23T16:57:39.996126
123,0.540000,204,106720,0,2026-03-23T16:57:40.232902
124,5.610001,420,107480,0,2026-03-23T16:57:40.282051
125,3.430000,361,108088,0,2026-03-23T16:57:40.319900
126,17.350000,2500,108480,0,2026-03-23T16:57:40.344116
127,-1.220000,149,108672,0,2026-03-23T16:57:40.512852
128,12.209998,657,110624,0,2026-03-23T16:57:40.839520
129,4.180000,363,110992,0,2026-03-23T16:57:40.869983
130,14.789999,734,112592,0,2026-03-23T16:57:40.989818
131,12.409999,677,113896,0,2026-03-23T16:57:41.228718
132,12.450000,515,114744,0,2026-03-23T16:57:41.435706
133,11.169999,451,116200,0,2026-03-23T16:57:41.532499
134,18.809999,2500,116280,0,2026-03-23T16:57:41.539073
135,19.870001,727,116808,0,2026-03-23T16:57:41.732719
136,24.320000,2500,116944,0,2026-03-23T16:57:41.744207
137,7.980000,394,117896,0,2026-03-23T16:57:41.807210
138,10.719998,597,118672,0,2026-03-23T16:57:41.856407
139,0.340000,201,119504,0,2026-03-23T16:57:42.056720
140,9.940001,433,119744,0,2026-03-23T16:57:42.072243
141,10.520000,476,120752,0,2026-03-23T16:57:42.140178
142,-0.490000,190,121024,0,2026-03-23T16:57:42.305324
143,-0.440000,191,122280,0,2026-03-23T16:57:42.388489
144,8.919999,502,123760,0,2026-03-23T16:57:42.634272
145,18.340000,2500,125432,0,2026-03-23T16:57:42.896246
146,12.679998,630,126064,0,2026-03-23T16:57:42.938647
147,8.860001,383,126824,0,2026-03-23T16:57:42.985402
148,16.139997,798,128664,0,2026-03-23T16:57:43.279791
149,18.660002,2500,128672,0,2026-03-23T16:57:43.280610
150,8.740000,419,129416,0,2026-03-23T16:57:43.485370
151,11.349998,594,130184,0,2026-03-23T16:57:43.536560
152,8.940001,417,132008,0,2026-03-23T16:57:43.802411
153,9.570000,455,132304,0,2026-03-23T16:57:43.820746
154,19.580000,808,133288,0,2026-03-23T16:57:44.032004
155,6.930000,398,135192,0,2026-03-23T16:57:44.298425
156,18.809996,2500,136200,0,2026-03-23T16:57:44.358589
157,8.499999,560,136784,0,2026-03-23T16:57:44.398150
