episode,episode_reward,episode_steps,timesteps,fps,timestamp,seed
1,-4.089999,149,1192,0,2026-03-23T17:53:22.505774,60045
2,-3.989999,149,1192,0,2026-03-23T17:53:22.505784,70045
3,-4.289999,149,1192,0,2026-03-23T17:53:22.505787,120045
4,-4.139999,151,1208,0,2026-03-23T17:53:22.506993,100045
5,-3.789999,152,1216,0,2026-03-23T17:53:22.507659,110045
6,-3.919999,185,1480,0,2026-03-23T17:53:22.523268,130045
7,-3.779999,186,1488,0,2026-03-23T17:53:22.523926,80045
8,-3.679999,189,1512,0,2026-03-23T17:53:22.525563,90045
9,-4.039999,151,2400,0,2026-03-23T17:53:22.824225,120045
10,-3.939999,149,2408,0,2026-03-23T17:53:22.824952,110045
11,-3.739999,153,2416,0,2026-03-23T17:53:22.825564,60045
12,-3.839999,154,2440,0,2026-03-23T17:53:22.827230,100045
13,-4.239999,151,2688,0,2026-03-23T17:53:22.841567,130045
14,-4.039999,154,2744,0,2026-03-23T17:53:22.844834,90045
15,-3.579999,182,2944,0,2026-03-23T17:53:22.856161,80045
16,-3.139998,260,3272,0,2026-03-23T17:53:22.875499,70045
17,-3.769999,185,3880,0,2026-03-23T17:53:22.911608,120045
18,-3.529999,183,3904,0,2026-03-23T17:53:22.913197,100045
19,-4.139999,152,3904,0,2026-03-23T17:53:22.913202,130045
20,-3.469998,213,4120,0,2026-03-23T17:53:23.086171,60045
21,-3.579999,188,4248,0,2026-03-23T17:53:23.094406,90045
22,-4.089999,153,4496,0,2026-03-23T17:53:23.109885,70045
23,-3.289998,263,4512,0,2026-03-23T17:53:23.111079,110045
24,-3.019998,217,4680,0,2026-03-23T17:53:23.120929,80045
25,-4.139999,154,5136,0,2026-03-23T17:53:23.149685,100045
26,-3.989999,152,5336,0,2026-03-23T17:53:23.161878,60045
27,-4.039999,152,5712,0,2026-03-23T17:53:23.184896,70045
28,-3.559998,230,5720,0,2026-03-23T17:53:23.185563,120045
29,-4.189999,154,5912,0,2026-03-23T17:53:23.196869,80045
30,-3.049998,256,5952,0,2026-03-23T17:53:23.199520,130045
31,-3.679999,189,6024,0,2026-03-23T17:53:23.203883,110045
32,-2.999998,260,6328,0,2026-03-23T17:53:23.369667,90045
33,-4.239999,153,6560,0,2026-03-23T17:53:23.383412,60045
34,-3.429999,186,6624,0,2026-03-23T17:53:23.387421,100045
35,-4.189999,151,6920,0,2026-03-23T17:53:23.404322,70045
36,-4.239999,152,7128,0,2026-03-23T17:53:23.416947,80045
37,-3.629999,185,7200,0,2026-03-23T17:53:23.421442,120045
38,-3.989999,150,7224,0,2026-03-23T17:53:23.422939,110045
39,-3.729999,190,7472,0,2026-03-23T17:53:23.437721,130045
40,-4.089999,151,7536,0,2026-03-23T17:53:23.441717,90045
41,-3.989999,152,7776,0,2026-03-23T17:53:23.455931,60045
42,-3.989999,152,7840,0,2026-03-23T17:53:23.459866,100045
43,-3.989999,153,8144,0,2026-03-23T17:53:23.477755,70045
44,-4.339999,153,8352,0,2026-03-23T17:53:23.639958,80045
45,-4.239999,152,8416,0,2026-03-23T17:53:23.644211,120045
46,-4.139999,152,8688,0,2026-03-23T17:53:23.660944,130045
47,-4.189999,153,9000,0,2026-03-23T17:53:23.679703,60045
48,-4.039999,154,9072,0,2026-03-23T17:53:23.684085,100045
49,-3.609998,231,9072,0,2026-03-23T17:53:23.684090,110045
50,-3.789999,151,9352,0,2026-03-23T17:53:23.700349,70045
51,-3.509998,232,9392,0,2026-03-23T17:53:23.702946,90045
52,-3.829999,181,9800,0,2026-03-23T17:53:23.727173,80045
53,-3.479999,185,9896,0,2026-03-23T17:53:23.732877,120045
54,-3.989999,152,9904,0,2026-03-23T17:53:23.733500,130045
55,-4.189999,153,10296,0,2026-03-23T17:53:23.902697,100045
56,-4.139999,154,10304,0,2026-03-23T17:53:23.903480,110045
57,-4.189999,154,10584,0,2026-03-23T17:53:23.920534,70045
58,-3.839999,153,10616,0,2026-03-23T17:53:23.922656,90045
59,-2.969999,213,10704,0,2026-03-23T17:53:23.927812,60045
60,-3.579999,183,11264,0,2026-03-23T17:53:23.960649,80045
61,-3.629999,187,11400,0,2026-03-23T17:53:23.968616,130045
62,-3.579999,191,11424,0,2026-03-23T17:53:23.970165,120045
63,-4.089999,153,11528,0,2026-03-23T17:53:23.976156,110045
64,-3.679999,184,11768,0,2026-03-23T17:53:23.989566,100045
