episode,episode_reward,episode_steps,timesteps,fps,timestamp,seed
1,-4.439999,151,1208,0,2026-03-23T17:52:24.763298,120045
2,-4.289999,151,1208,0,2026-03-23T17:52:24.763310,130045
3,-4.089999,152,1216,0,2026-03-23T17:52:24.764307,90045
4,-4.039999,154,1232,0,2026-03-23T17:52:24.765806,80045
5,-3.529999,181,1448,0,2026-03-23T17:52:24.779284,60045
6,-3.829998,183,1464,0,2026-03-23T17:52:24.780439,100045
7,-2.949998,260,2080,0,2026-03-23T17:52:25.024298,70045
8,-2.989998,263,2104,0,2026-03-23T17:52:25.026144,110045
9,-4.289999,149,2408,0,2026-03-23T17:52:25.044781,90045
10,-3.939999,154,2440,0,2026-03-23T17:52:25.046839,130045
11,-3.939999,153,2672,0,2026-03-23T17:52:25.060361,60045
12,-3.929999,181,2680,0,2026-03-23T17:52:25.061046,80045
13,-4.189999,152,2680,0,2026-03-23T17:52:25.061050,100045
14,-3.969999,185,2688,0,2026-03-23T17:52:25.061631,120045
15,-3.989999,149,3272,0,2026-03-23T17:52:25.096284,70045
16,-4.189999,154,3336,0,2026-03-23T17:52:25.100175,110045
17,-4.239999,149,3632,0,2026-03-23T17:52:25.116928,130045
18,-4.389999,149,3880,0,2026-03-23T17:52:25.131803,120045
19,-3.629999,188,3912,0,2026-03-23T17:52:25.133883,90045
20,-3.629999,183,4144,0,2026-03-23T17:52:25.312244,80045
21,-3.779999,183,4144,0,2026-03-23T17:52:25.312252,100045
22,-2.919999,215,4392,0,2026-03-23T17:52:25.327623,60045
23,-3.839999,151,4544,0,2026-03-23T17:52:25.336605,110045
24,-3.529999,185,4752,0,2026-03-23T17:52:25.348443,70045
25,-4.089999,154,4864,0,2026-03-23T17:52:25.354959,130045
26,-3.939999,153,5104,0,2026-03-23T17:52:25.368685,120045
27,-4.189999,153,5368,0,2026-03-23T17:52:25.383915,100045
28,-3.919999,188,5416,0,2026-03-23T17:52:25.386965,90045
29,-4.339999,154,5624,0,2026-03-23T17:52:25.399446,60045
30,-3.169998,219,5896,0,2026-03-23T17:52:25.415756,80045
31,-3.479999,185,6232,0,2026-03-23T17:52:25.576867,70045
32,-4.089999,154,6336,0,2026-03-23T17:52:25.583285,120045
33,-3.559998,231,6392,0,2026-03-23T17:52:25.586582,110045
34,-3.989999,149,6816,0,2026-03-23T17:52:25.611111,60045
35,-3.629999,183,6832,0,2026-03-23T17:52:25.612316,100045
36,-3.149998,256,6912,0,2026-03-23T17:52:25.617069,130045
37,-3.869999,188,6920,0,2026-03-23T17:52:25.617618,90045
38,-4.239999,152,7112,0,2026-03-23T17:52:25.628620,80045
39,-4.139999,154,7464,0,2026-03-23T17:52:25.648510,70045
40,-3.939999,154,7568,0,2026-03-23T17:52:25.654587,120045
41,-4.189999,153,8040,0,2026-03-23T17:52:25.681127,60045
42,-4.089999,154,8152,0,2026-03-23T17:52:25.687972,90045
43,-3.429999,188,8336,0,2026-03-23T17:52:25.842659,100045
44,-4.139999,154,8344,0,2026-03-23T17:52:25.843397,80045
45,-3.729999,185,8392,0,2026-03-23T17:52:25.846368,130045
46,-3.539998,263,8496,0,2026-03-23T17:52:25.852310,110045
47,-4.239999,153,8688,0,2026-03-23T17:52:25.863249,70045
48,-3.679999,185,9048,0,2026-03-23T17:52:25.884034,120045
49,-3.939999,151,9360,0,2026-03-23T17:52:25.902704,90045
50,-4.289999,150,9536,0,2026-03-23T17:52:25.912689,100045
51,-2.969999,213,9744,0,2026-03-23T17:52:25.924988,60045
52,-3.729999,185,9824,0,2026-03-23T17:52:25.929796,80045
53,-3.429999,185,9872,0,2026-03-23T17:52:25.932720,130045
54,-4.239999,151,9896,0,2026-03-23T17:52:25.934224,70045
55,-3.479999,190,10016,0,2026-03-23T17:52:25.941444,110045
56,-3.699999,149,10240,0,2026-03-23T17:52:25.954447,120045
57,-4.039999,152,10576,0,2026-03-23T17:52:26.123701,90045
58,-4.089999,153,10968,0,2026-03-23T17:52:26.147532,60045
59,-3.689999,153,11048,0,2026-03-23T17:52:26.152216,80045
60,-4.089999,153,11096,0,2026-03-23T17:52:26.155344,130045
61,-2.819999,220,11296,0,2026-03-23T17:52:26.167662,100045
62,-3.329999,190,11416,0,2026-03-23T17:52:26.174925,70045
63,-3.529999,189,11528,0,2026-03-23T17:52:26.181356,110045
64,-3.829998,185,11720,0,2026-03-23T17:52:26.192412,120045
65,-3.629998,188,12080,0,2026-03-23T17:52:26.213418,90045
66,-4.089999,151,12176,0,2026-03-23T17:52:26.218989,60045
67,-2.469999,214,12760,0,2026-03-23T17:52:26.398482,80045
68,-3.629999,189,13040,0,2026-03-23T17:52:26.416596,110045
69,-2.459999,255,13136,0,2026-03-23T17:52:26.422663,130045
70,-2.619999,220,13176,0,2026-03-23T17:52:26.425255,70045
71,-2.809998,253,13320,0,2026-03-23T17:52:26.433877,100045
72,-2.769999,230,13560,0,2026-03-23T17:52:26.448391,120045
73,-3.069999,214,13888,0,2026-03-23T17:52:26.469194,60045
74,-2.869999,229,13912,0,2026-03-23T17:52:26.470905,90045
75,-3.649999,149,14232,0,2026-03-23T17:52:26.490763,110045
76,-3.729999,185,14240,0,2026-03-23T17:52:26.491608,80045
77,-3.329999,186,14664,0,2026-03-23T17:52:26.670278,70045
78,-3.189999,191,14664,0,2026-03-23T17:52:26.670286,130045
79,-3.399999,149,14752,0,2026-03-23T17:52:26.675887,120045
80,-3.299999,149,15080,0,2026-03-23T17:52:26.695482,60045
81,-2.919998,221,15088,0,2026-03-23T17:52:26.696201,100045
82,-3.060000,149,15432,0,2026-03-23T17:52:26.716292,80045
83,-3.549999,149,15856,0,2026-03-23T17:52:26.741577,70045
84,-3.690000,149,15856,0,2026-03-23T17:52:26.741584,130045
85,-2.569999,226,16040,0,2026-03-23T17:52:26.752190,110045
86,-3.349999,149,16272,0,2026-03-23T17:52:26.766195,60045
87,-1.699999,295,16272,0,2026-03-23T17:52:26.766201,90045
88,-3.499999,149,16280,0,2026-03-23T17:52:26.766836,100045
89,-3.449999,149,16624,0,2026-03-23T17:52:26.931924,80045
90,-1.519999,252,16768,0,2026-03-23T17:52:26.940824,120045
91,-3.150000,151,17248,0,2026-03-23T17:52:26.969246,110045
92,-2.250000,185,17336,0,2026-03-23T17:52:26.974669,130045
93,-3.549999,149,17464,0,2026-03-23T17:52:26.982096,60045
94,-3.200000,149,17464,0,2026-03-23T17:52:26.982102,90045
95,-3.500000,150,17480,0,2026-03-23T17:52:26.983195,100045
96,-3.400000,149,17816,0,2026-03-23T17:52:27.002646,80045
97,-1.120000,263,17960,0,2026-03-23T17:52:27.010957,70045
98,-3.279999,188,18272,0,2026-03-23T17:52:27.028912,120045
99,-3.150000,154,18480,0,2026-03-23T17:52:27.188234,110045
100,-2.610000,149,18672,0,2026-03-23T17:52:27.201541,100045
101,-1.760000,176,18872,0,2026-03-23T17:52:27.213673,60045
102,-3.290000,149,19008,0,2026-03-23T17:52:27.222221,80045
