episode,episode_reward,episode_steps,timesteps,fps,timestamp,seed
1,5.980001,505,4040,0,2026-03-23T18:13:43.342642,50043
2,4.780002,535,4280,0,2026-03-23T18:13:43.504971,30043
3,7.310001,601,4808,0,2026-03-23T18:13:43.542074,60043
4,11.940001,766,6128,0,2026-03-23T18:13:43.629908,20043
5,11.960002,771,6168,0,2026-03-23T18:13:43.797490,40043
6,12.200002,778,6224,0,2026-03-23T18:13:43.801868,43
7,11.780003,808,6464,0,2026-03-23T18:13:43.819505,70043
8,2.070000,352,7624,0,2026-03-23T18:13:43.904776,60044
9,5.500001,560,8760,0,2026-03-23T18:13:44.143065,30044
10,7.360001,585,10808,0,2026-03-23T18:13:44.438289,20044
11,24.330002,649,12816,0,2026-03-23T18:13:44.728901,60045
12,7.650001,618,13704,0,2026-03-23T18:13:44.783339,30045
13,18.849998,519,14960,0,2026-03-23T18:13:45.012956,20045
14,3.040015,2500,20000,0,2026-03-23T18:13:45.620855,10043
15,20.139984,2500,24040,0,2026-03-23T18:13:46.284002,50044
16,10.860001,648,25184,0,2026-03-23T18:13:46.509391,10044
17,1.320014,2500,26168,0,2026-03-23T18:13:46.570664,40044
18,-0.119988,2500,26224,0,2026-03-23T18:13:46.574517,44
19,0.900012,2500,26464,0,2026-03-23T18:13:46.591299,70044
20,3.740000,436,29656,0,2026-03-23T18:13:47.133610,40045
21,10.640001,642,31360,0,2026-03-23T18:13:47.407017,45
22,5.090014,2500,32816,0,2026-03-23T18:13:47.658302,60046
23,22.399969,2500,33704,0,2026-03-23T18:13:47.715528,30046
24,1.560000,357,34216,0,2026-03-23T18:13:47.750562,46
25,17.030014,2500,34960,0,2026-03-23T18:13:47.949429,20046
26,24.459999,675,38216,0,2026-03-23T18:13:48.312677,60047
27,22.579998,614,38616,0,2026-03-23T18:13:48.341531,30047
28,22.090002,594,39712,0,2026-03-23T18:13:48.564797,20047
29,5.180001,524,42408,0,2026-03-23T18:13:48.917929,60048
30,21.650000,572,43192,0,2026-03-23T18:13:49.115655,30048
31,17.500017,2500,44040,0,2026-03-23T18:13:49.171725,50045
32,0.700012,2500,45184,0,2026-03-23T18:13:49.397508,10045
33,12.260002,778,45936,0,2026-03-23T18:13:49.451086,20048
34,19.550011,2500,46464,0,2026-03-23T18:13:49.488558,70045
35,3.290000,458,47704,0,2026-03-23T18:13:49.738844,50046
36,25.640007,735,48288,0,2026-03-23T18:13:49.779779,60049
37,0.430000,295,48296,0,2026-03-23T18:13:49.780574,20049
38,25.889999,722,48968,0,2026-03-23T18:13:49.828691,30049
39,4.650013,2500,49656,0,2026-03-23T18:13:50.032632,40046
40,4.430000,441,49992,0,2026-03-23T18:13:50.057677,70046
41,2.040000,363,51872,0,2026-03-23T18:13:50.337171,30050
